Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
18-19,FALL,University,-,-,-,1380.0,0.564,75.1,24.5,80.1,23.8
18-19,FALL,School,SBM,-,-,365.0,0.558,75.6,25.0,80.4,24.3
18-19,FALL,Dept,SBM,ACCT,Accounting,49.0,0.583,78.0,23.2,83.1,21.8
18-19,FALL,Dept,SBM,ECON,Economics,52.0,0.622,76.5,24.9,77.6,27.3
18-19,FALL,Dept,SBM,FINA,Finance,55.0,0.588,74.3,27.2,78.9,26.3
18-19,FALL,Dept,SBM,GBUS,Global Business,3.0,0.467,77.3,21.7,81.3,25.0
18-19,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",104.0,0.53,75.2,24.7,80.1,24.0
18-19,FALL,Dept,SBM,MIMT,MSc Program in International Management,11.0,0.913,76.3,25.5,82.7,22.0
18-19,FALL,Dept,SBM,MGMT,Management,68.0,0.535,77.0,23.9,85.1,19.3
18-19,FALL,Dept,SBM,MARK,Marketing,27.0,0.51,70.0,26.2,74.5,26.5
18-19,FALL,Dept,SBM,SBMT,School of Business and Management,1.0,0.188,66.1,24.4,74.6,17.2
18-19,FALL,School,SENG,-,-,213.0,0.49,76.3,23.9,80.7,23.4
18-19,FALL,Dept,SENG,BIEN,Bioengineering,2.0,0.784,83.9,19.1,88.0,16.7
18-19,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,14.0,0.513,71.2,25.1,77.5,23.3
18-19,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.491,75.7,22.1,80.4,22.0
18-19,FALL,Dept,SENG,COMP,Computer Science and Engineering,61.0,0.471,78.7,23.4,84.1,21.8
18-19,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,43.0,0.471,79.0,21.9,80.3,23.2
18-19,FALL,Dept,SENG,ENEG,Energy Technology,1.0,0.652,91.7,12.2,98.3,6.5
18-19,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.439,70.3,28.2,73.1,29.8
18-19,FALL,Dept,SENG,ISDN,Integrative Systems and Design,5.0,0.606,77.4,26.5,81.1,27.7
18-19,FALL,Dept,SENG,MECH,Mechanical Engineering,31.0,0.537,73.0,26.4,77.5,26.4
18-19,FALL,Dept,SENG,ENGG,School of Engineering,5.0,0.48,73.0,23.9,76.7,21.9
18-19,FALL,School,SHSS,-,-,88.0,0.568,78.4,23.4,83.2,22.0
18-19,FALL,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,4.0,0.817,93.5,14.4,96.3,11.5
18-19,FALL,Dept,SHSS,HUMA,Humanities,41.0,0.538,74.1,25.6,79.6,23.9
18-19,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.69,89.8,21.7,89.8,22.1
18-19,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,6.0,0.765,89.7,18.4,92.3,15.5
18-19,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,8.0,0.912,86.0,16.3,89.0,15.4
18-19,FALL,Dept,SHSS,SOSC,Social Science,27.0,0.527,77.8,21.8,82.5,21.6
18-19,FALL,School,SSCI,-,-,260.0,0.528,71.6,25.4,75.0,25.7
18-19,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.38,91.4,14.4,93.2,13.0
18-19,FALL,Dept,SSCI,CHEM,Chemistry,44.0,0.505,71.2,23.8,75.3,24.2
18-19,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,1.0,0.532,71.0,21.3,85.0,16.1
18-19,FALL,Dept,SSCI,LIFS,Life Science,30.0,0.502,72.2,23.5,74.9,24.7
18-19,FALL,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.775,93.8,12.4,96.4,8.9
18-19,FALL,Dept,SSCI,MATH,Mathematics,95.0,0.532,68.3,27.3,71.5,28.0
18-19,FALL,Dept,SSCI,NANO,NANO Science and Technology,3.0,0.857,84.7,19.4,91.7,14.9
18-19,FALL,Dept,SSCI,OCES,Ocean Science,12.0,0.531,81.0,22.4,84.8,21.2
18-19,FALL,Dept,SSCI,PHYS,Physics,54.0,0.599,68.4,25.9,73.0,25.2
18-19,FALL,Dept,SSCI,SCIE,School of Science,4.0,0.602,73.5,23.1,75.8,24.2
18-19,FALL,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),11.0,0.492,94.6,12.5,96.7,10.1
18-19,FALL,School,LANG/LABU/LAGR,-,-,412.0,0.786,76.4,22.8,85.3,19.2
18-19,FALL,Dept,LANG/LABU/LAGR,LANG,Language,359.0,0.787,76.6,22.9,85.5,19.0
18-19,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,53.0,0.784,74.9,22.2,83.9,20.4
18-19,FALL,School,IPO,-,-,34.0,0.666,78.8,24.0,84.3,21.6
18-19,FALL,Dept,IPO,ENVR,Environment and Sustainability,18.0,0.659,73.0,24.2,79.6,22.5
18-19,FALL,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.694,87.0,15.6,88.3,17.3
18-19,FALL,Dept,IPO,PPOL,Public Policy,7.0,0.756,88.5,19.0,94.1,12.6
18-19,FALL,Dept,IPO,RMBI,Risk Management and Business Intelligence,5.0,0.5,66.9,32.5,75.9,29.3
18-19,FALL,Dept,IPO,TEMG,Technology and Management,1.0,0.706,70.8,33.4,72.7,34.4
18-19,FALL,School,OTHERS,-,-,8.0,0.613,86.0,17.1,88.1,16.2
18-19,FALL,Dept,OTHERS,DSTO,Dean of Students' Office,1.0,0.727,89.1,20.3,95.3,10.1
18-19,FALL,Dept,OTHERS,UCE,Undergraduate Core Education,7.0,0.591,85.3,16.3,86.4,17.0
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2019-01-11 00:00:00,,,,,,,,,,,
