Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
24-25,SPRING,Dept,AIS,ENVR,Environment and Sustainability,23.0,0.449,4.19,0.88,4.34,0.77
24-25,SPRING,Dept,AIS,EVSM,Environmental Science and Management,3.0,0.437,4.33,0.92,4.48,0.84
24-25,SPRING,Dept,AIS,ISDN,Integrative Systems and Design,16.0,0.516,4.62,0.65,4.68,0.59
24-25,SPRING,Dept,AIS,AISC,Interdisciplinary Studies,1.0,0.484,4.73,0.46,4.73,0.46
24-25,SPRING,Dept,AIS,PPOL,Public Policy,24.0,0.625,4.52,0.82,4.55,0.82
24-25,SPRING,Dept,AIS,MTLE,Self-Financed MSc Program in Technology Leadership and Entrepreneurship,2.0,0.273,4.38,0.59,4.38,0.59
24-25,SPRING,Dept,AIS,TEMG,Technology and Management,3.0,0.444,4.56,0.76,4.77,0.42
24-25,SPRING,Dept,AIS,UTOP,Undergraduate Teaching Opportunities,1.0,0.548,4.12,1.17,4.41,1.06
24-25,SPRING,School,OTHERS,-,-,5.0,0.513,4.63,0.6,4.65,0.57
24-25,SPRING,Dept,OTHERS,CEI,Center for Education Innovation,2.0,0.582,4.63,0.54,4.7,0.49
24-25,SPRING,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.35,4.67,0.73,4.55,0.71
24-25,SPRING,Dept,OTHERS,UROP,Undergraduate Research Opportunities Program,1.0,0.6,4.56,0.73,4.67,0.5
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
Note 2: A section may be counted towards multiple programs/departments which are affiliated with the same or different school(s). Hence the total number of sections for all programs/departments may not necessarily tally with the number of sections for their home school. The same situation may also occur in the totals for schools and university.,,,,,,,,,,,
,,,,,,,,,,,
Report prepared by Academic Quality Advancement Team,,,,,,,,,,,
2025-07-03 00:00:00,,,,,,,,,,,
