Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
21-22,SPRING,University,-,-,-,1458.0,0.496,4.12,1.0,4.24,0.91
21-22,SPRING,School,SBM,-,-,428.0,0.491,4.23,0.94,4.31,0.91
21-22,SPRING,Dept,SBM,ACCT,Accounting,54.0,0.514,4.32,0.94,4.37,0.92
21-22,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.5,4.0,1.1,4.27,0.9
21-22,SPRING,Dept,SBM,ECON,Economics,60.0,0.508,4.28,0.88,4.36,0.86
21-22,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.391,4.16,1.03,4.2,0.87
21-22,SPRING,Dept,SBM,FINA,Finance,66.0,0.495,4.37,0.87,4.43,0.81
21-22,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.352,4.44,0.72,4.43,0.79
21-22,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",115.0,0.478,4.15,0.97,4.24,0.91
21-22,SPRING,Dept,SBM,MIMT,MSc Program in International Management,10.0,0.61,4.0,1.09,4.13,1.02
21-22,SPRING,Dept,SBM,MGMT,Management,65.0,0.482,4.22,0.98,4.32,0.94
21-22,SPRING,Dept,SBM,MARK,Marketing,35.0,0.469,4.09,0.94,4.14,0.95
21-22,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,6.0,0.392,4.08,1.04,4.13,1.04
21-22,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.659,3.67,0.93,3.67,0.94
21-22,SPRING,Dept,SBM,SBMT,School of Business and Management,12.0,0.533,4.28,0.93,4.32,0.91
21-22,SPRING,School,SENG,-,-,237.0,0.43,4.14,0.93,4.21,0.89
21-22,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,21.0,0.481,4.2,0.92,4.3,0.89
21-22,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.413,4.0,0.89,4.04,0.89
21-22,SPRING,Dept,SENG,COMP,Computer Science and Engineering,65.0,0.408,4.28,0.87,4.38,0.8
21-22,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,42.0,0.442,4.13,0.95,4.17,0.87
21-22,SPRING,Dept,SENG,ENEG,Energy Technology,2.0,0.4,4.5,0.76,4.38,0.74
21-22,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.391,4.16,1.03,4.2,0.87
21-22,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.36,4.05,0.96,4.12,0.88
21-22,SPRING,Dept,SENG,ISDN,Integrative Systems and Design,16.0,0.537,4.39,0.74,4.41,0.8
21-22,SPRING,Dept,SENG,MECH,Mechanical Engineering,29.0,0.505,3.88,1.11,3.98,1.1
21-22,SPRING,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.382,4.33,1.11,4.38,1.03
21-22,SPRING,Dept,SENG,ENGG,School of Engineering,8.0,0.551,4.2,0.83,4.23,0.79
21-22,SPRING,School,SHSS,-,-,106.0,0.526,4.3,0.86,4.37,0.81
21-22,SPRING,Dept,SHSS,HUMA,Humanities,40.0,0.502,4.2,0.89,4.29,0.84
21-22,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,1.0,0.808,4.81,0.87,4.81,0.87
21-22,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,9.0,0.75,4.62,0.76,4.67,0.68
