Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
20-21,SPRING,University,-,-,-,1415.0,0.448,4.13,0.94,4.24,0.89
20-21,SPRING,School,SBM,-,-,388.0,0.451,4.14,0.98,4.24,0.93
20-21,SPRING,Dept,SBM,ACCT,Accounting,51.0,0.509,4.13,1.0,4.22,0.97
20-21,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.577,2.73,1.2,2.87,1.17
20-21,SPRING,Dept,SBM,ECON,Economics,54.0,0.429,4.2,0.95,4.25,0.95
20-21,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.456,4.1,0.87,4.32,0.7
20-21,SPRING,Dept,SBM,FINA,Finance,60.0,0.481,4.22,0.94,4.29,0.9
20-21,SPRING,Dept,SBM,GBUS,Global Business,6.0,0.269,4.32,0.96,4.47,0.74
20-21,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",106.0,0.443,4.11,0.99,4.23,0.91
20-21,SPRING,Dept,SBM,MIMT,MSc Program in International Management,6.0,0.745,4.47,0.67,4.51,0.6
20-21,SPRING,Dept,SBM,MGMT,Management,61.0,0.465,4.2,0.96,4.32,0.89
20-21,SPRING,Dept,SBM,MARK,Marketing,30.0,0.431,4.05,0.92,4.11,0.95
20-21,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,5.0,0.355,3.77,1.16,3.98,1.09
20-21,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.585,4.25,1.06,4.25,0.98
20-21,SPRING,Dept,SBM,SBMT,School of Business and Management,7.0,0.247,4.04,0.92,4.1,0.87
20-21,SPRING,School,SENG,-,-,245.0,0.389,4.13,0.93,4.21,0.9
20-21,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,21.0,0.413,4.18,0.94,4.28,0.89
20-21,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,36.0,0.364,4.05,0.84,4.11,0.84
20-21,SPRING,Dept,SENG,COMP,Computer Science and Engineering,74.0,0.39,4.2,0.93,4.31,0.85
20-21,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,43.0,0.38,4.14,1.0,4.21,0.92
20-21,SPRING,Dept,SENG,ENEG,Energy Technology,1.0,0.308,3.0,1.51,3.63,1.51
20-21,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.456,4.1,0.87,4.32,0.7
20-21,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,18.0,0.341,4.27,0.75,4.31,0.79
20-21,SPRING,Dept,SENG,ISDN,Integrative Systems and Design,8.0,0.515,4.07,0.89,4.08,0.96
20-21,SPRING,Dept,SENG,MECH,Mechanical Engineering,30.0,0.438,3.95,1.04,3.99,1.05
20-21,SPRING,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.312,4.16,1.11,4.14,1.1
20-21,SPRING,Dept,SENG,ENGG,School of Engineering,11.0,0.519,4.23,0.94,4.24,0.88
20-21,SPRING,School,SHSS,-,-,113.0,0.484,4.23,0.9,4.32,0.85
20-21,SPRING,Dept,SHSS,HUMA,Humanities,44.0,0.453,4.16,0.93,4.28,0.85
20-21,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.656,4.67,0.66,4.71,0.64
20-21,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,5.0,0.71,4.72,0.51,4.78,0.46
