Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
22-23,SPRING,University,-,-,-,1454.0,0.48,4.1,0.98,4.26,0.9
22-23,SPRING,School,SBM,-,-,430.0,0.468,4.26,0.91,4.39,0.85
22-23,SPRING,Dept,SBM,ACCT,Accounting,56.0,0.469,4.32,0.84,4.42,0.81
22-23,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.216,3.75,1.49,4.38,0.74
22-23,SPRING,Dept,SBM,ECON,Economics,56.0,0.473,4.23,0.96,4.36,0.9
22-23,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.388,4.42,0.84,4.26,0.99
22-23,SPRING,Dept,SBM,FINA,Finance,66.0,0.48,4.44,0.8,4.56,0.71
22-23,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.479,4.01,1.24,4.26,1.1
22-23,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",119.0,0.438,4.16,0.96,4.3,0.91
22-23,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.815,4.02,1.07,4.23,1.06
22-23,SPRING,Dept,SBM,MGMT,Management,75.0,0.501,4.25,0.91,4.42,0.81
22-23,SPRING,Dept,SBM,MARK,Marketing,33.0,0.451,4.24,0.87,4.38,0.8
22-23,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,4.0,0.374,4.0,1.08,4.19,1.04
22-23,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.78,3.94,0.98,4.09,0.97
22-23,SPRING,Dept,SBM,SBMT,School of Business and Management,7.0,0.545,4.4,0.74,4.47,0.71
22-23,SPRING,School,SENG,-,-,231.0,0.426,4.1,0.96,4.22,0.91
22-23,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,21.0,0.542,3.97,1.03,4.18,0.99
22-23,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,30.0,0.388,3.94,0.9,3.98,0.91
22-23,SPRING,Dept,SENG,COMP,Computer Science and Engineering,64.0,0.408,4.17,0.94,4.38,0.84
22-23,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,43.0,0.442,4.19,0.87,4.29,0.85
22-23,SPRING,Dept,SENG,ENEG,Energy Technology,1.0,0.143,5.0,0.0,5.0,0.0
22-23,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.388,4.42,0.84,4.26,0.99
22-23,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,17.0,0.395,3.9,1.01,4.08,0.95
