Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
21-22,FALL,University,-,-,-,1431.0,0.505,4.15,0.94,4.26,0.89
21-22,FALL,School,SBM,-,-,407.0,0.497,4.2,0.97,4.28,0.93
21-22,FALL,Dept,SBM,ACCT,Accounting,54.0,0.477,4.27,0.87,4.35,0.85
21-22,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.852,4,0.8,4.3,0.7
21-22,FALL,Dept,SBM,ECON,Economics,69.0,0.564,4.31,0.86,4.36,0.85
21-22,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.415,4.23,0.75,4.45,0.6
21-22,FALL,Dept,SBM,FINA,Finance,54.0,0.54,4.21,1.03,4.29,1.01
21-22,FALL,Dept,SBM,GBUS,Global Business,4.0,0.569,3.99,1.1,4.13,1.01
21-22,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",122.0,0.49,4.18,1,4.27,0.95
21-22,FALL,Dept,SBM,MIMT,MSc Program in International Management,9.0,0.714,4.46,0.83,4.5,0.81
21-22,FALL,Dept,SBM,MGMT,Management,58.0,0.419,4.06,0.99,4.2,0.91
21-22,FALL,Dept,SBM,MARK,Marketing,32.0,0.458,4.07,1.1,4.15,1.05
21-22,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,3.0,0.415,4.48,0.64,4.48,0.64
21-22,FALL,Dept,SBM,WBBA,SF Program in World Business,2.0,0.63,4,1,3.98,0.99
21-22,FALL,Dept,SBM,SBMT,School of Business and Management,2.0,0.547,4,0.87,3.91,1.01
21-22,FALL,School,SENG,-,-,225.0,0.444,4.13,0.94,4.22,0.9
21-22,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,21.0,0.474,4,0.99,4.11,0.92
21-22,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.434,4.08,0.86,4.14,0.86
