Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
18-19,SPRING,University,-,-,-,1390.0,0.489,74.9,24.6,79.9,23.6
18-19,SPRING,School,SBM,-,-,375.0,0.495,75.8,25.2,80.5,24.3
18-19,SPRING,Dept,SBM,ACCT,Accounting,49.0,0.483,79.0,22.1,82.2,22.5
18-19,SPRING,Dept,SBM,ECON,Economics,55.0,0.504,78.2,24.7,82.1,23.1
18-19,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.762,76.6,24.9,87.5,18.3
18-19,SPRING,Dept,SBM,FINA,Finance,60.0,0.507,72.4,27.7,75.5,28.4
18-19,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.529,80.9,23.8,85.2,19.7
18-19,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",94.0,0.467,74.4,24.7,79.5,24.3
18-19,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.886,78.7,24.6,87.5,21.2
18-19,SPRING,Dept,SBM,MGMT,Management,66.0,0.498,76.0,26.5,83.0,22.9
18-19,SPRING,Dept,SBM,MARK,Marketing,35.0,0.488,77.2,22.9,82.4,22.2
18-19,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.967,65.3,24.1,78.7,22.0
18-19,SPRING,Dept,SBM,SBMT,School of Business and Management,3.0,0.292,72.9,36.6,77.1,33.4
18-19,SPRING,School,SENG,-,-,244.0,0.411,75.9,24.0,80.2,23.6
18-19,SPRING,Dept,SENG,BIEN,Bioengineering,5.0,0.619,85.7,16.1,89.9,15.1
18-19,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,19.0,0.441,73.5,26.1,79.4,24.3
18-19,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,37.0,0.382,72.1,23.0,75.1,24.4
18-19,SPRING,Dept,SENG,COMP,Computer Science and Engineering,67.0,0.406,78.8,24.1,84.5,22.3
18-19,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,47.0,0.407,77.8,23.5,79.0,25.0
18-19,SPRING,Dept,SENG,ENEG,Energy Technology,2.0,0.8,90.6,18.6,93.8,11.6
18-19,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.762,76.6,24.9,87.5,18.3
18-19,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,18.0,0.377,72.7,23.7,78.4,21.9
18-19,SPRING,Dept,SENG,ISDN,Integrative Systems and Design,9.0,0.554,82.7,20.5,90.3,15.9
18-19,SPRING,Dept,SENG,MECH,Mechanical Engineering,32.0,0.485,74.9,25.2,81.0,23.0
18-19,SPRING,Dept,SENG,ENGG,School of Engineering,6.0,0.395,73.3,23.9,76.3,22.6
18-19,SPRING,School,SHSS,-,-,98.0,0.482,74.9,25.2,79.2,23.7
18-19,SPRING,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,5.0,0.866,94.1,13.6,96.5,9.2
