Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
17-18,SPRING,University,-,-,-,1352.0,0.505,75.0,24.6,80.1,23.3
17-18,SPRING,School,SBM,-,-,353.0,0.522,76.8,25.0,81.5,23.6
17-18,SPRING,Dept,SBM,ACCT,Accounting,47.0,0.509,78.7,22.1,82.7,22.2
17-18,SPRING,Dept,SBM,ECON,Economics,47.0,0.533,80.7,23.5,84.1,21.7
17-18,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.463,73.3,27.8,80.8,23.4
17-18,SPRING,Dept,SBM,FINA,Finance,55.0,0.507,78.9,26.2,81.9,25.3
17-18,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.496,80.1,23.2,83.7,22.2
17-18,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",84.0,0.535,75.3,25.1,80.6,24.0
17-18,SPRING,Dept,SBM,MIMT,MSc Program in International Management,9.0,0.917,71.3,27.2,86.1,20.8
17-18,SPRING,Dept,SBM,MGMT,Management,70.0,0.507,74.3,26.7,80.7,23.5
17-18,SPRING,Dept,SBM,MARK,Marketing,35.0,0.506,74.8,24.2,79.0,24.8
17-18,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.531,65.7,23.4,70.6,25.8
17-18,SPRING,Dept,SBM,SBMT,School of Business and Management,1.0,0.6,87.5,13.7,91.7,12.9
17-18,SPRING,School,SENG,-,-,239.0,0.427,75.9,24.0,80.7,22.8
17-18,SPRING,Dept,SENG,BIEN,Bioengineering,3.0,0.667,84.1,21.2,86.4,21.4
17-18,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,24.0,0.439,72.1,25.5,78.2,22.6
17-18,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,34.0,0.432,73.9,23.9,77.5,23.6
17-18,SPRING,Dept,SENG,COMP,Computer Science and Engineering,67.0,0.424,79.8,22.8,86.0,20.8
17-18,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,47.0,0.44,78.2,22.7,81.8,21.5
17-18,SPRING,Dept,SENG,ENEG,Energy Technology,1.0,0.875,89.3,13.4,96.4,9.4
17-18,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.463,73.3,27.8,80.8,23.4
17-18,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,18.0,0.33,70.5,26.3,77.4,23.2
17-18,SPRING,Dept,SENG,MECH,Mechanical Engineering,34.0,0.454,73.0,24.7,77.0,24.3
17-18,SPRING,Dept,SENG,ENGG,School of Engineering,9.0,0.527,75.1,24.1,80.7,21.6
17-18,SPRING,School,SHSS,-,-,103.0,0.545,75.0,24.8,79.8,23.4
17-18,SPRING,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,5.0,0.67,91.8,13.5,93.0,13.0
17-18,SPRING,Dept,SHSS,HUMA,Humanities,48.0,0.556,71.4,26.4,76.9,25.0
17-18,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.731,84.2,22.1,90.1,17.0
17-18,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,4.0,0.718,97.1,14.7,99.5,3.5
17-18,SPRING,Dept,SHSS,MILE,MSc Program in International Language Education,9.0,0.848,81.3,21.8,86.6,19.3
17-18,SPRING,Dept,SHSS,SOSC,Social Science,35.0,0.496,77.2,22.4,81.2,21.6
17-18,SPRING,School,SSCI,-,-,246.0,0.443,72.7,24.4,75.8,24.2
17-18,SPRING,Dept,SSCI,CHMS,Analytical Chemistry,6.0,0.534,91.5,15.3,92.8,14.7
17-18,SPRING,Dept,SSCI,CHEM,Chemistry,45.0,0.46,70.1,21.7,74.4,21.8
