Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
24-25,FALL,University,-,-,-,1582.0,0.445,4.23,0.89,4.35,0.85
24-25,FALL,School,SBM,-,-,453.0,0.432,4.3,0.86,4.39,0.84
24-25,FALL,Dept,SBM,ACCT,Accounting,55.0,0.421,4.25,0.86,4.33,0.83
24-25,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.245,3.33,1.37,4.08,1.06
24-25,FALL,Dept,SBM,ECON,Economics,68.0,0.406,4.37,0.77,4.44,0.78
24-25,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.481,4.32,0.81,4.45,0.76
24-25,FALL,Dept,SBM,FINA,Finance,58.0,0.562,4.42,0.8,4.48,0.79
24-25,FALL,Dept,SBM,GBUS,Global Business,4.0,0.276,4.35,0.85,4.32,1.07
24-25,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",130.0,0.369,4.24,0.89,4.33,0.88
24-25,FALL,Dept,SBM,MFIT-SBM,MSc Program in Financial Technology,10.0,0.336,4.4,0.88,4.42,0.93
24-25,FALL,Dept,SBM,MIMT,MSc Program in International Management,11.0,0.626,4.26,1.03,4.38,0.86
24-25,FALL,Dept,SBM,MGMT,Management,70.0,0.429,4.23,0.92,4.42,0.81
24-25,FALL,Dept,SBM,MARK,Marketing,40.0,0.492,4.28,0.88,4.36,0.87
24-25,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,2.0,0.373,4.14,0.8,4.29,0.76
24-25,FALL,Dept,SBM,WBBA,SF Program in World Business,1.0,0.8,4.08,0.8,4.15,0.83
24-25,FALL,Dept,SBM,SBMT,School of Business and Management,6.0,0.5,4.69,0.62,4.74,0.5
24-25,FALL,Dept,SBM,SBMT-SBM,School of Business and Management-SENG,2.0,0.479,4.93,0.26,4.88,0.32
24-25,FALL,School,SENG,-,-,326.0,0.398,4.33,0.85,4.4,0.82
24-25,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,22.0,0.478,4.1,0.89,4.27,0.82
24-25,FALL,Dept,SENG,CIEM,Civil Infrastructural Engineering and Management,9.0,0.299,4.51,0.73,4.59,0.64
24-25,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,30.0,0.296,4.19,0.82,4.14,0.88
24-25,FALL,Dept,SENG,COMP,Computer Science and Engineering,76.0,0.386,4.21,0.85,4.39,0.8
24-25,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,43.0,0.406,4.22,0.91,4.33,0.89
24-25,FALL,Dept,SENG,ENEG,Energy Technology,3.0,0.559,4.84,0.37,4.84,0.37
24-25,FALL,Dept,SENG,EEMT,Engineering Enterprise Management,5.0,0.511,4.77,0.56,4.84,0.47
24-25,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.481,4.32,0.81,4.45,0.76
24-25,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.285,4.2,0.82,4.31,0.77
24-25,FALL,Dept,SENG,CSIT,Information Technology,9.0,0.413,4.49,0.84,4.52,0.79
24-25,FALL,Dept,SENG,IBTM,Intelligent Building Technology and Management,6.0,0.357,4.52,0.79,4.59,0.81
24-25,FALL,Dept,SENG,MFIT-SENG,MSc Program in Financial Technology,10.0,0.336,4.4,0.88,4.42,0.93
24-25,FALL,Dept,SENG,BEHI,MSc in Biomolecular Engineering and Health Informatics,5.0,0.712,4.53,0.65,4.52,0.64
24-25,FALL,Dept,SENG,MCEE,MSc in Chemical and Energy Engineering,8.0,0.636,4.83,0.54,4.83,0.52
24-25,FALL,Dept,SENG,MECH,Mechanical Engineering,28.0,0.38,4.13,1.0,4.18,1.0
24-25,FALL,Dept,SENG,ENGG,School of Engineering,5.0,0.58,4.2,0.86,4.28,0.78
24-25,FALL,Dept,SENG,SBMT-SENG,School of Engineering-SBMT,2.0,0.479,4.93,0.26,4.88,0.32
24-25,FALL,Dept,SENG,EESM,Self-Financed Electrical and Electronic Engineering Postgraduate Programs,14.0,0.457,4.58,0.7,4.65,0.65
24-25,FALL,Dept,SENG,JEVE,"Self-Financed Graduate Diploma and MSc Program in Environmental Engineering, and Environmental Science",6.0,0.56,4.51,0.7,4.51,0.71
24-25,FALL,Dept,SENG,MSBD,Self-Financed MSc Program in Big Data Technology,9.0,0.377,4.53,0.78,4.55,0.78
24-25,FALL,Dept,SENG,MESF,Self-Financed MSc Program in Mechanical Engineering,7.0,0.436,4.62,0.69,4.66,0.63
