Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
24-25,FALL,Dept,SENG,MTLE,Self-Financed MSc Program in Technology Leadership and Entrepreneurship,5.0,0.362,4.78,0.42,4.75,0.44
24-25,FALL,Dept,SENG,AESF,Self-Financed Mechanical and Aerospace Engineering Postgraduate Programs,6.0,0.441,4.52,0.77,4.47,0.77
24-25,FALL,School,SHSS,-,-,108.0,0.418,4.35,0.84,4.47,0.77
24-25,FALL,Dept,SHSS,HUMA,Humanities,44.0,0.36,4.15,0.98,4.28,0.93
24-25,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.86,4.4,0.93,4.5,0.83
24-25,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,11.0,0.778,4.74,0.52,4.78,0.49
24-25,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,6.0,0.805,4.51,0.59,4.65,0.61
24-25,FALL,Dept,SHSS,MASS,Master of Arts in Social Science,7.0,0.676,4.75,0.51,4.79,0.47
24-25,FALL,Dept,SHSS,SOSC,Social Science,38.0,0.349,4.3,0.77,4.4,0.7
24-25,FALL,School,SSCI,-,-,248.0,0.426,4.1,0.9,4.2,0.91
24-25,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.44,4.74,0.49,4.82,0.43
24-25,FALL,Dept,SSCI,BTEC,Biotechnology,6.0,0.562,4.45,0.72,4.57,0.68
24-25,FALL,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.245,3.33,1.37,4.08,1.06
24-25,FALL,Dept,SSCI,CHEM,Chemistry,36.0,0.507,4.14,0.77,4.22,0.79
24-25,FALL,Dept,SSCI,DASC,Data Analytics in Science,6.0,0.378,3.88,1.06,4.08,1.12
24-25,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.481,4.32,0.81,4.45,0.76
24-25,FALL,Dept,SSCI,LIFS,Life Science,23.0,0.431,4.05,0.82,4.2,0.86
24-25,FALL,Dept,SSCI,MFIT-SSCI,MSc Program in Financial Technology,10.0,0.336,4.4,0.88,4.42,0.93
24-25,FALL,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,6.0,0.723,4.71,0.52,4.75,0.51
24-25,FALL,Dept,SSCI,MSDM,MSc in Data-Driven Modeling Program,7.0,0.358,4.53,0.62,4.61,0.53
24-25,FALL,Dept,SSCI,DRAP,MSc in Drug Regulatory Affairs and Policy,4.0,0.414,4.43,0.91,4.36,0.97
24-25,FALL,Dept,SSCI,MATH,Mathematics,76.0,0.393,3.93,0.96,3.98,1.02
24-25,FALL,Dept,SSCI,NANO,NANO Science and Technology,2.0,0.6,4.33,0.82,4.5,0.55
24-25,FALL,Dept,SSCI,OCES,Ocean Science,16.0,0.498,4.26,0.79,4.22,0.89
24-25,FALL,Dept,SSCI,PHYS,Physics,38.0,0.414,3.99,0.96,4.16,0.95
24-25,FALL,Dept,SSCI,SCIE,School of Science,2.0,0.604,4.66,0.48,4.48,0.59
24-25,FALL,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.271,4.46,0.86,4.46,0.89
24-25,FALL,School,LANG/LABU/LAGR,-,-,386.0,0.577,3.99,1.01,4.38,0.81
24-25,FALL,Dept,LANG/LABU/LAGR,LANG,Language,343.0,0.595,4.01,0.99,4.39,0.79
24-25,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,43.0,0.428,3.71,1.17,4.19,1.0
24-25,FALL,School,AIS,-,-,75.0,0.587,4.32,0.89,4.4,0.83
24-25,FALL,Dept,AIS,CTDL,Critical Thinking and Data Literacy,3.0,0.414,3.99,1.0,4.18,0.95
24-25,FALL,Dept,AIS,EMIA,Division of Emerging Interdisciplinary Areas,12.0,0.603,4.18,1.05,4.37,0.88
24-25,FALL,Dept,AIS,ENVR,Environment and Sustainability,19.0,0.535,4.02,0.93,4.22,0.86
24-25,FALL,Dept,AIS,EVSM,Environmental Science and Management,4.0,0.491,4.4,0.71,4.44,0.68
24-25,FALL,Dept,AIS,ISDN,Integrative Systems and Design,13.0,0.441,4.42,0.89,4.52,0.79
24-25,FALL,Dept,AIS,PPOL,Public Policy,22.0,0.771,4.6,0.71,4.64,0.68
24-25,FALL,Dept,AIS,TEMG,Technology and Management,2.0,0.674,4.71,0.59,4.69,0.7
24-25,FALL,School,OTHERS,-,-,14.0,0.644,4.53,0.76,4.64,0.63
24-25,FALL,Dept,OTHERS,CEI,Center for Education Innovation,10.0,0.664,4.52,0.78,4.68,0.6
24-25,FALL,Dept,OTHERS,DSTO,Dean of Students' Office,3.0,0.5,4.56,0.55,4.4,0.76
24-25,FALL,Dept,OTHERS,UROP,Undergraduate Research Opportunities Program,1.0,0.167,5.0,0.0,5.0,0.0
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
Note 2: A section may be counted towards multiple programs/departments which are affiliated with the same or different school(s). Hence the total number of sections for all programs/departments may not necessarily tally with the number of sections for their home school. The same situation may also occur in the totals for schools and university.,,,,,,,,,,,
,,,,,,,,,,,
Report prepared by Academic Quality Advancement Team,,,,,,,,,,,
23 January 2025,,,,,,,,,,,
