Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
16-17,SPRING,University,-,-,-,1319.0,0.499,74.7,24.6,80.1,23.5
16-17,SPRING,School,SBM,-,-,354.0,0.523,77.1,24.3,81.5,23.9
16-17,SPRING,Dept,SBM,ACCT,Accounting,49.0,0.495,80.6,21.2,84.8,22.0
16-17,SPRING,Dept,SBM,ECON,Economics,49.0,0.517,80.3,23.6,82.7,23.5
16-17,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.466,76.0,22.9,83.0,20.1
16-17,SPRING,Dept,SBM,FINA,Finance,55.0,0.528,76.8,24.8,80.2,25.3
16-17,SPRING,Dept,SBM,GBUS,Global Business,4.0,0.649,80.7,20.5,85.2,18.1
16-17,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",77.0,0.512,74.7,25.2,79.3,25.0
16-17,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.902,75.6,24.7,78.9,24.1
16-17,SPRING,Dept,SBM,MGMT,Management,66.0,0.523,74.8,25.5,81.4,23.1
16-17,SPRING,Dept,SBM,MARK,Marketing,39.0,0.523,76.0,23.7,81.0,24.2
16-17,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.726,76.6,25.8,70.9,27.8
16-17,SPRING,Dept,SBM,SBMT,School of Business and Management,4.0,0.403,95.1,12.8,97.1,8.1
16-17,SPRING,School,SENG,-,-,219.0,0.411,74.8,24.1,79.4,23.7
16-17,SPRING,Dept,SENG,BIEN,Bioengineering,2.0,0.546,73.7,22.9,80.5,19.2
16-17,SPRING,Dept,SENG,CENG,Chemical and Biomolecular Engineering,19.0,0.45,68.5,27.3,74.6,26.0
16-17,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,36.0,0.435,76.9,21.0,79.8,22.1
16-17,SPRING,Dept,SENG,COMP,Computer Science and Engineering,61.0,0.42,77.6,24.0,84.1,22.0
16-17,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,41.0,0.365,77.3,24.2,80.1,23.9
16-17,SPRING,Dept,SENG,ENEG,Energy Technology,2.0,0.714,80.0,15.8,92.5,12.1
16-17,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.466,76.0,22.9,83.0,20.1
16-17,SPRING,Dept,SENG,IELM,Industrial Engineering and Logistics Management,18.0,0.361,68.6,24.7,72.1,25.1
