Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
19-20,FALL,University,-,-,-,1409.0,0.468,77.8,23.4,81.6,22.7
19-20,FALL,School,SBM,-,-,363.0,0.475,78.8,23.7,82.9,22.6
19-20,FALL,Dept,SBM,ACCT,Accounting,51.0,0.54,78.6,23.1,82.3,23.0
19-20,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.3,63.5,28.5,70.8,27.3
19-20,FALL,Dept,SBM,ECON,Economics,51.0,0.486,76.2,25.9,78.7,26.3
19-20,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.397,76.2,22.4,75.4,21.9
19-20,FALL,Dept,SBM,FINA,Finance,56.0,0.521,80.8,24.0,84.5,22.1
19-20,FALL,Dept,SBM,GBUS,Global Business,3.0,0.248,88.2,16.4,88.3,15.7
19-20,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",100.0,0.449,80.4,22.5,84.6,20.9
19-20,FALL,Dept,SBM,MIMT,MSc Program in International Management,12.0,0.865,80.8,23.4,86.4,20.4
19-20,FALL,Dept,SBM,MGMT,Management,61.0,0.413,79.1,22.3,84.9,19.1
19-20,FALL,Dept,SBM,MARK,Marketing,28.0,0.426,75.7,25.5,80.6,24.6
19-20,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,3.0,0.489,66.5,29.5,72.4,30.3
19-20,FALL,Dept,SBM,SBMT,School of Business and Management,1.0,0.229,77.3,18.4,78.1,18.8
19-20,FALL,School,SENG,-,-,228.0,0.412,78.8,22.5,82.3,21.9
19-20,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,18.0,0.455,76.7,22.9,81.6,21.6
19-20,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.417,78.7,20.1,81.9,20.1
19-20,FALL,Dept,SENG,COMP,Computer Science and Engineering,64.0,0.44,80.6,22.0,85.3,20.3
19-20,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,41.0,0.359,79.5,22.9,79.9,24.5
19-20,FALL,Dept,SENG,ENEG,Energy Technology,2.0,0.429,81.7,22.1,88.3,18.6
19-20,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.397,76.2,22.4,75.4,21.9
19-20,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,18.0,0.396,79.3,22.1,82.5,21.9
19-20,FALL,Dept,SENG,ISDN,Integrative Systems and Design,9.0,0.398,76.0,26.0,81.6,23.2
19-20,FALL,Dept,SENG,MECH,Mechanical Engineering,31.0,0.399,74.4,25.9,77.7,25.9
19-20,FALL,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.359,86.7,18.4,88.9,19.6
19-20,FALL,Dept,SENG,ENGG,School of Engineering,7.0,0.49,72.7,24.9,78.0,20.7
19-20,FALL,School,SHSS,-,-,114.0,0.448,80.8,22.0,84.8,20.3
19-20,FALL,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,5.0,0.516,88.1,19.3,91.7,15.2
19-20,FALL,Dept,SHSS,HUMA,Humanities,49.0,0.413,77.5,23.1,82.2,21.5
19-20,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.689,92.1,15.7,92.8,15.7
19-20,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,5.0,0.853,85.7,21.5,89.7,19.2
19-20,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,7.0,0.597,87.7,15.7,90.1,15.5
19-20,FALL,Dept,SHSS,SOSC,Social Science,39.0,0.39,78.9,22.4,83.2,20.9
19-20,FALL,Dept,SHSS,HART,Studio Arts courses offered by HUMA,7.0,0.55,76.9,22.9,82.6,19.1
19-20,FALL,School,SSCI,-,-,276.0,0.45,74.4,24.1,76.7,24.5
19-20,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.565,90.7,15.2,90.8,16.0
19-20,FALL,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.3,63.5,28.5,70.8,27.3
19-20,FALL,Dept,SSCI,CHEM,Chemistry,44.0,0.516,72.1,23.1,74.9,23.4
19-20,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.397,76.2,22.4,75.4,21.9
19-20,FALL,Dept,SSCI,LIFS,Life Science,25.0,0.382,74.7,22.7,76.8,23.0
19-20,FALL,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,4.0,0.875,80.7,20.3,83.6,23.4
19-20,FALL,Dept,SSCI,MSDM,MSc in Data-Driven Modeling Program,6.0,0.444,78.3,23.3,87.9,17.6
19-20,FALL,Dept,SSCI,MATH,Mathematics,108.0,0.459,72.0,25.5,73.4,26.7
19-20,FALL,Dept,SSCI,NANO,NANO Science and Technology,2.0,0.811,82.1,23.4,80.6,28.9
19-20,FALL,Dept,SSCI,OCES,Ocean Science,14.0,0.438,77.0,21.8,78.1,22.7
19-20,FALL,Dept,SSCI,PHYS,Physics,53.0,0.474,73.0,24.5,76.5,24.7
19-20,FALL,Dept,SSCI,SCIE,School of Science,4.0,0.389,71.4,31.4,75.5,27.2
