Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
18-19,FALL,University,-,-,-,1380.0,0.564,75.49,72.88,69.33,72.17,88.74,84.11,85.05,75.12,84.38,77.82,73.73,77.66,91.58,87.38,88.32,80.1
18-19,FALL,School,SBM,-,-,365.0,0.558,86.93,72.41,66.55,71.62,85.27,81.51,81.78,75.58,90.34,78.25,71.91,77.39,89.82,84.81,85.15,80.41
18-19,FALL,Dept,SBM,ACCT,Accounting,49.0,0.583,75.0,72.54,65.37,71.74,,90.17,90.17,77.98,93.75,79.12,70.76,78.33,,92.29,92.29,83.11
18-19,FALL,Dept,SBM,ECON,Economics,52.0,0.622,91.67,67.68,68.95,68.51,93.0,91.82,90.88,76.53,92.86,67.18,72.15,69.19,93.0,93.56,92.67,77.62
18-19,FALL,Dept,SBM,FINA,Finance,55.0,0.588,,76.28,64.53,69.6,84.32,77.91,78.29,74.25,,83.04,71.66,76.58,90.25,80.41,81.0,78.95
18-19,FALL,Dept,SBM,GBUS,Global Business,3.0,0.467,95.0,74.07,,77.34,,,,77.34,97.5,76.97,,81.25,,,,81.25
18-19,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",104.0,0.53,72.22,72.84,71.88,72.81,79.17,78.96,78.96,75.19,75.0,78.38,75.52,78.3,88.89,82.86,82.95,80.1
18-19,FALL,Dept,SBM,MIMT,MSc Program in International Management,11.0,0.913,,,,,86.11,75.75,76.28,76.28,,,,,84.72,82.6,82.72,82.72
18-19,FALL,Dept,SBM,MGMT,Management,68.0,0.535,,73.87,,73.87,84.43,86.34,85.63,76.95,,83.7,,83.7,89.07,89.02,89.04,85.1
18-19,FALL,Dept,SBM,MARK,Marketing,27.0,0.51,,71.02,,71.02,95.45,66.45,68.0,70.02,,75.84,,75.84,93.18,70.66,71.86,74.52
18-19,FALL,Dept,SBM,SBMT,School of Business and Management,1.0,0.188,,,,,,66.13,66.13,66.13,,,,,,74.6,74.6,74.6
18-19,FALL,School,SENG,-,-,213.0,0.49,78.76,75.24,72.78,74.49,88.17,85.7,85.17,76.29,83.58,79.66,77.72,79.09,90.77,89.75,90.02,80.73
18-19,FALL,Dept,SENG,BIEN,Bioengineering,2.0,0.784,,78.13,,78.13,,84.94,84.94,83.89,,98.44,,98.44,,86.08,86.08,87.98
18-19,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,14.0,0.513,89.58,74.01,61.98,67.63,,87.65,87.65,71.22,100.0,78.81,70.74,74.4,,91.27,91.27,77.47
18-19,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.491,86.49,71.11,74.08,73.98,87.66,83.98,85.39,75.69,85.14,78.63,78.55,78.77,91.77,88.82,90.03,80.35
18-19,FALL,Dept,SENG,COMP,Computer Science and Engineering,61.0,0.471,64.29,78.26,75.99,77.76,85.0,85.64,85.61,78.69,70.45,83.53,83.39,83.42,80.0,89.85,89.44,84.14
