Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
20-21,SPRING,University,-,-,-,1415.0,0.448,3.99,4.03,4.04,4.03,4.54,4.42,4.44,4.13,4.25,4.13,4.12,4.15,4.61,4.46,4.49,4.24
20-21,SPRING,School,SBM,-,-,388.0,0.451,4.38,3.99,4.19,4.0,4.59,4.36,4.39,4.14,4.42,4.12,4.21,4.12,4.63,4.4,4.43,4.24
20-21,SPRING,Dept,SBM,ACCT,Accounting,51.0,0.509,4.86,3.94,,3.94,4.53,4.37,4.38,4.13,4.57,4.07,,4.07,4.5,4.42,4.42,4.22
20-21,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.577,,2.73,,2.73,,,,2.73,,2.87,,2.87,,,,2.87
20-21,SPRING,Dept,SBM,ECON,Economics,54.0,0.429,4.11,3.98,4.18,4.01,4.68,4.45,4.47,4.2,4.05,4.07,4.15,4.08,4.68,4.48,4.5,4.25
20-21,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.456,4.22,4.05,,4.1,,,,4.1,4.56,4.23,,4.32,,,,4.32
20-21,SPRING,Dept,SBM,FINA,Finance,60.0,0.481,4.5,4.15,4.21,4.15,4.76,4.26,4.27,4.22,4.5,4.24,4.3,4.25,4.86,4.31,4.32,4.29
20-21,SPRING,Dept,SBM,GBUS,Global Business,6.0,0.269,,4.32,,4.32,,,,4.32,,4.47,,4.47,,,,4.47
20-21,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",106.0,0.443,4.33,3.91,,3.92,4.75,4.41,4.42,4.11,4.46,4.08,,4.08,4.77,4.44,4.46,4.23
20-21,SPRING,Dept,SBM,MIMT,MSc Program in International Management,6.0,0.745,,,,,4.47,,4.47,4.47,,,,,4.51,,4.51,4.51
20-21,SPRING,Dept,SBM,MGMT,Management,61.0,0.465,4.64,4.06,,4.07,4.69,4.56,4.6,4.2,4.64,4.21,,4.21,4.74,4.58,4.63,4.32
20-21,SPRING,Dept,SBM,MARK,Marketing,30.0,0.431,,4.0,,4.0,4.4,4.1,4.3,4.05,,4.06,,4.06,4.5,4.13,4.38,4.11
