Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
24-25,FALL,University,-,-,-,1582.0,0.445,3.95,4.12,3.97,4.05,4.66,4.53,4.54,4.23,4.33,4.27,4.06,4.2,4.72,4.58,4.59,4.35
24-25,FALL,School,SBM,-,-,453.0,0.432,4.52,4.13,4.28,4.13,4.43,4.46,4.47,4.3,4.55,4.26,4.22,4.26,4.53,4.51,4.52,4.39
24-25,FALL,Dept,SBM,ACCT,Accounting,55.0,0.421,,4.07,4.12,4.07,,4.62,4.62,4.25,,4.2,4.11,4.19,,4.61,4.61,4.33
24-25,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.245,,3.33,,3.33,,,,3.33,,4.08,,4.08,,,,4.08
24-25,FALL,Dept,SBM,ECON,Economics,68.0,0.406,4.56,4.09,,4.1,4.67,4.7,4.7,4.37,4.63,4.19,,4.2,4.67,4.73,4.74,4.44
24-25,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.481,,4.32,,4.32,,,,4.32,,4.45,,4.45,,,,4.45
24-25,FALL,Dept,SBM,FINA,Finance,58.0,0.562,,4.06,4.47,4.09,4.73,4.55,4.55,4.42,,4.16,4.49,4.19,4.82,4.59,4.59,4.48
24-25,FALL,Dept,SBM,GBUS,Global Business,4.0,0.276,4.8,4.28,,4.35,,,,4.35,5.0,4.21,,4.32,,,,4.32
24-25,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",130.0,0.369,,4.13,,4.13,4.26,4.33,4.33,4.24,,4.23,,4.23,4.33,4.41,4.41,4.33
24-25,FALL,Dept,SBM,MFIT-SBM,MSc Program in Financial Technology,10.0,0.336,,,,,4.63,4.4,4.4,4.4,,,,,4.63,4.41,4.42,4.42
24-25,FALL,Dept,SBM,MIMT,MSc Program in International Management,11.0,0.626,,,,,4.71,4.25,4.26,4.26,,,,,4.86,4.37,4.38,4.38
24-25,FALL,Dept,SBM,MGMT,Management,70.0,0.429,,4.15,,4.15,5.0,4.51,4.52,4.23,,4.36,,4.36,5.0,4.6,4.61,4.42
24-25,FALL,Dept,SBM,MARK,Marketing,40.0,0.492,5.0,4.33,,4.34,,4.26,4.26,4.28,4.8,4.42,,4.42,,4.33,4.33,4.36
24-25,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,2.0,0.373,3.86,4.24,,4.14,,,,4.14,3.86,4.43,,4.29,,,,4.29
24-25,FALL,Dept,SBM,WBBA,SF Program in World Business,1.0,0.8,,4.08,,4.08,,,,4.08,,4.15,,4.15,,,,4.15
24-25,FALL,Dept,SBM,SBMT,School of Business and Management,6.0,0.5,,,,,3.86,4.74,4.69,4.69,,,,,4.43,4.76,4.74,4.74
24-25,FALL,Dept,SBM,SBMT-SBM,School of Business and Management-SENG,2.0,0.479,,,,,,4.93,4.93,4.93,,,,,,4.88,4.88,4.88
24-25,FALL,School,SENG,-,-,326.0,0.398,4.18,4.15,4.03,4.11,4.68,4.58,4.59,4.33,4.28,4.29,4.11,4.22,4.71,4.62,4.63,4.4
24-25,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,22.0,0.478,,4.11,3.68,3.96,4.67,4.46,4.51,4.1,,4.37,3.79,4.17,4.7,4.46,4.51,4.27
24-25,FALL,Dept,SENG,CIEM,Civil Infrastructural Engineering and Management,9.0,0.299,,,,,4.75,4.5,4.51,4.51,,,,,4.75,4.59,4.59,4.59
24-25,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,30.0,0.296,4.19,4.41,3.95,4.08,4.8,4.62,4.73,4.19,4.26,4.41,3.98,4.07,4.78,4.77,4.78,4.14
24-25,FALL,Dept,SENG,COMP,Computer Science and Engineering,76.0,0.386,3.81,4.16,4.35,4.18,,4.45,4.45,4.21,4.19,4.33,4.62,4.37,,4.55,4.55,4.39
24-25,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,43.0,0.406,4.7,4.01,4.04,4.05,4.73,4.75,4.74,4.22,4.75,4.1,4.13,4.14,4.77,4.84,4.81,4.33
24-25,FALL,Dept,SENG,ENEG,Energy Technology,3.0,0.559,5.0,,,5.0,4.81,,4.81,4.84,5.0,,,5.0,4.81,,4.81,4.84
24-25,FALL,Dept,SENG,EEMT,Engineering Enterprise Management,5.0,0.511,,,,,,4.77,4.77,4.77,,,,,,4.84,4.84,4.84
24-25,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.481,,4.32,,4.32,,,,4.32,,4.45,,4.45,,,,4.45
24-25,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.285,4.0,4.22,4.01,4.15,4.8,4.36,4.49,4.2,4.33,4.3,4.13,4.25,4.9,4.56,4.66,4.31
24-25,FALL,Dept,SENG,CSIT,Information Technology,9.0,0.413,,,,,,4.49,4.49,4.49,,,,,,4.52,4.52,4.52
