Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
24-25,SPRING,University,-,-,-,1581.0,0.378,4.0,4.12,3.96,4.05,4.67,4.58,4.59,4.24,4.33,4.25,4.04,4.19,4.7,4.62,4.63,4.34
24-25,SPRING,School,SBM,-,-,450.0,0.371,4.47,4.19,3.52,4.14,4.63,4.53,4.54,4.32,4.57,4.34,3.67,4.3,4.68,4.57,4.58,4.43
24-25,SPRING,Dept,SBM,ACCT,Accounting,50.0,0.37,4.75,4.17,,4.17,4.89,4.76,4.77,4.38,5.0,4.33,,4.34,4.88,4.76,4.77,4.5
24-25,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.784,,3.66,,3.66,,,,3.66,,4.28,,4.28,,,,4.28
24-25,SPRING,Dept,SBM,ECON,Economics,55.0,0.301,,4.22,,4.22,4.66,4.74,4.73,4.41,,4.36,,4.36,4.76,4.74,4.74,4.5
24-25,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,4.0,0.404,4.36,4.44,,4.4,,,,4.4,4.5,4.44,,4.48,,,,4.48
24-25,SPRING,Dept,SBM,FINA,Finance,70.0,0.479,4.0,4.21,,4.21,4.47,4.62,4.62,4.48,4.4,4.31,,4.31,4.47,4.65,4.65,4.54
24-25,SPRING,Dept,SBM,GBUS,Global Business,6.0,0.374,5.0,4.46,,4.52,,,,4.52,4.88,4.62,,4.64,,,,4.64
24-25,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",118.0,0.308,4.22,4.16,3.52,4.01,4.39,4.47,4.47,4.18,4.22,4.31,3.67,4.16,4.5,4.52,4.52,4.29
24-25,SPRING,Dept,SBM,MFIT-SBM,MSc Program in Financial Technology,10.0,0.218,,,,,5.0,4.75,4.75,4.75,,,,,5.0,4.81,4.81,4.81
24-25,SPRING,Dept,SBM,MIMT,MSc Program in International Management,11.0,0.476,,,,,4.38,4.03,4.06,4.06,,,,,4.44,4.15,4.18,4.18
24-25,SPRING,Dept,SBM,MGMT,Management,65.0,0.412,4.75,4.15,,4.15,4.76,4.61,4.62,4.26,5.0,4.35,,4.36,4.76,4.6,4.61,4.42
24-25,SPRING,Dept,SBM,MARK,Marketing,48.0,0.398,5.0,4.3,,4.31,4.74,4.27,4.31,4.31,5.0,4.39,,4.39,4.78,4.33,4.37,4.38
24-25,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,5.0,0.32,4.5,3.85,,3.88,,,,3.88,4.5,3.98,,4.0,,,,4.0
24-25,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.66,,4.39,,4.39,,,,4.39,,4.5,,4.5,,,,4.5
