Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
22-23,FALL,University,-,-,-,1367.0,0.506,3.98,4.01,3.87,3.95,4.58,4.42,4.44,4.1,4.28,4.11,3.94,4.07,4.66,4.47,4.49,4.2
22-23,FALL,School,SBM,-,-,407.0,0.496,4.41,4.01,4.19,4.02,4.63,4.37,4.38,4.19,4.46,4.12,4.21,4.13,4.71,4.42,4.43,4.27
22-23,FALL,Dept,SBM,ACCT,Accounting,55.0,0.518,,3.9,3.87,3.9,4.47,4.45,4.45,4.11,,4.08,3.85,4.06,4.47,4.5,4.5,4.23
22-23,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.175,,3.0,,3.0,,,,3.0,,3.14,,3.14,,,,3.14
22-23,FALL,Dept,SBM,ECON,Economics,61.0,0.55,,3.91,4.37,4.0,4.63,4.61,4.59,4.21,,3.99,4.41,4.07,4.79,4.65,4.64,4.28
22-23,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,1.0,0.345,,3.95,,3.95,,,,3.95,,3.95,,3.95,,,,3.95
22-23,FALL,Dept,SBM,FINA,Finance,59.0,0.53,,3.99,,3.99,4.57,4.45,4.45,4.32,,4.1,,4.1,4.57,4.49,4.49,4.38
22-23,FALL,Dept,SBM,GBUS,Global Business,5.0,0.366,4.45,4.24,,4.29,,,,4.29,4.45,4.32,,4.35,,,,4.35
22-23,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",126.0,0.486,4.82,4.08,3.85,4.08,4.56,4.26,4.26,4.18,4.73,4.19,3.97,4.19,4.78,4.31,4.31,4.25
22-23,FALL,Dept,SBM,MIMT,MSc Program in International Management,10.0,0.526,4.33,,,4.33,3.75,4.12,4.07,4.07,4.33,,,4.33,3.79,4.2,4.15,4.15
22-23,FALL,Dept,SBM,MGMT,Management,59.0,0.436,4.14,4.02,,4.02,4.5,4.24,4.25,4.08,4.29,4.14,,4.14,4.64,4.3,4.31,4.18
22-23,FALL,Dept,SBM,MARK,Marketing,26.0,0.445,3.6,4.19,,4.18,4.86,4.35,4.42,4.23,3.6,4.3,,4.29,5.0,4.39,4.46,4.33
22-23,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,3.0,0.435,4.62,4.41,,4.5,,,,4.5,4.77,4.35,,4.53,,,,4.53
22-23,FALL,Dept,SBM,WBBA,SF Program in World Business,1.0,0.432,,3.79,,3.79,,,,3.79,,4.19,,4.19,,,,4.19
22-23,FALL,Dept,SBM,SBMT,School of Business and Management,5.0,0.418,,,,,,4.43,4.43,4.43,,,,,,4.44,4.44,4.44
22-23,FALL,School,SENG,-,-,216.0,0.441,4.23,4.06,3.99,4.03,4.62,4.42,4.49,4.11,4.27,4.14,4.1,4.12,4.71,4.44,4.53,4.2
22-23,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,20.0,0.516,3.73,3.89,3.69,3.84,4.0,4.47,4.43,3.95,3.27,4.04,3.74,3.95,4.0,4.48,4.44,4.05
22-23,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,27.0,0.409,4.45,4.25,3.91,3.96,4.77,4.52,4.65,4.02,4.5,4.32,4.0,4.04,4.81,4.52,4.67,4.09
22-23,FALL,Dept,SENG,COMP,Computer Science and Engineering,68.0,0.454,4.25,4.11,4.17,4.14,,4.38,4.38,4.17,4.42,4.23,4.32,4.27,,4.44,4.44,4.29
22-23,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,37.0,0.419,4.6,4.07,3.92,4.01,4.69,4.29,4.41,4.09,4.7,4.12,4.0,4.07,4.8,4.36,4.45,4.17
22-23,FALL,Dept,SENG,ENEG,Energy Technology,3.0,0.684,,,,,4.54,,4.54,4.54,,,,,4.62,,4.62,4.62
22-23,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,1.0,0.345,,3.95,,3.95,,,,3.95,,3.95,,3.95,,,,3.95
22-23,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.381,3.69,3.85,3.9,3.86,4.56,4.2,4.39,3.92,3.88,3.91,4.05,3.97,4.69,3.93,4.32,4.01
22-23,FALL,Dept,SENG,ISDN,Integrative Systems and Design,12.0,0.507,4.2,4.24,,4.23,4.71,4.81,4.78,4.42,4.34,4.38,,4.37,4.76,4.84,4.81,4.52
22-23,FALL,Dept,SENG,MECH,Mechanical Engineering,27.0,0.492,4.38,4.03,3.68,3.96,4.41,4.6,4.52,4.02,4.31,4.02,3.75,3.97,4.62,4.6,4.61,4.04
22-23,FALL,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.364,,,,,,,4.56,4.56,,,,,,,4.62,4.62
22-23,FALL,Dept,SENG,ENGG,School of Engineering,4.0,0.484,4.4,4.0,,4.02,,,,4.02,4.2,3.98,,3.99,,,,3.99
22-23,FALL,School,SHSS,-,-,103.0,0.543,4.55,4.02,4.1,4.07,4.63,4.54,4.55,4.29,4.67,4.09,4.2,4.15,4.68,4.59,4.6,4.36
22-23,FALL,Dept,SHSS,HUMA,Humanities,40.0,0.475,4.55,4.04,4.04,4.05,4.6,4.73,4.68,4.15,4.67,4.12,4.16,4.15,4.66,4.74,4.71,4.24
22-23,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,1.0,0.648,,,,,,4.57,4.57,4.57,,,,,,4.57,4.57,4.57
22-23,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,18.0,0.842,,,,,,4.45,4.45,4.45,,,,,,4.5,4.5,4.5
22-23,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,8.0,0.918,,,,,4.61,4.58,4.59,4.59,,,,,4.61,4.65,4.64,4.64
22-23,FALL,Dept,SHSS,MASS,Master of Arts in Social Science,7.0,0.683,,,,,,4.61,4.61,4.61,,,,,,4.66,4.66,4.66
22-23,FALL,Dept,SHSS,SOSC,Social Science,29.0,0.413,,3.99,4.15,4.09,4.74,,4.74,4.12,,4.02,4.22,4.15,4.84,,4.84,4.18
22-23,FALL,School,SSCI,-,-,223.0,0.5,4.31,3.99,3.76,3.83,4.65,4.5,4.52,3.97,4.32,4.05,3.82,3.89,4.65,4.54,4.55,4.03
22-23,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.577,,,,,,4.49,4.49,4.49,,,,,,4.55,4.55,4.55
22-23,FALL,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.175,,3.0,,3.0,,,,3.0,,3.14,,3.14,,,,3.14
22-23,FALL,Dept,SSCI,CHEM,Chemistry,35.0,0.535,4.33,4.0,3.75,3.88,,4.59,4.59,3.91,4.37,4.05,3.82,3.94,,4.59,4.59,3.97
22-23,FALL,Dept,SSCI,DASC,Data Analytics in Science,2.0,0.529,,4.44,,4.44,,,,4.44,,4.58,,4.58,,,,4.58
22-23,FALL,Dept,SSCI,ENTR-SSCI,Entrepreneurship,1.0,0.345,,3.95,,3.95,,,,3.95,,3.95,,3.95,,,,3.95
22-23,FALL,Dept,SSCI,LIFS,Life Science,23.0,0.48,,4.51,3.91,3.93,4.67,4.45,4.48,4.04,,4.54,3.93,3.95,4.64,4.49,4.51,4.07
