Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
20-21,FALL,University,-,-,-,1363.0,0.517,4.05,3.97,3.98,3.98,4.55,4.38,4.41,4.1,4.34,4.12,4.08,4.14,4.66,4.48,4.51,4.24
20-21,FALL,School,SBM,-,-,372.0,0.502,4.27,3.99,4.05,4.0,4.56,4.37,4.38,4.15,4.29,4.15,4.22,4.16,4.61,4.45,4.46,4.27
20-21,FALL,Dept,SBM,ACCT,Accounting,49.0,0.549,,3.96,3.66,3.94,,4.59,4.59,4.12,,4.09,3.77,4.06,,4.65,4.65,4.23
20-21,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.271,,3.88,,3.88,,,,3.88,,4.0,,4.0,,,,4.0
20-21,FALL,Dept,SBM,ECON,Economics,58.0,0.561,4.05,3.92,4.32,3.98,4.41,4.31,4.34,4.11,4.14,4.09,4.43,4.14,4.5,4.41,4.44,4.24
20-21,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,3.0,0.618,5.0,3.67,,3.7,,,,3.7,5.0,3.87,,3.89,,,,3.89
20-21,FALL,Dept,SBM,FINA,Finance,53.0,0.548,4.5,4.09,4.03,4.08,4.73,4.29,4.3,4.23,4.25,4.22,4.32,4.25,4.76,4.37,4.39,4.34
20-21,FALL,Dept,SBM,GBUS,Global Business,4.0,0.514,,4.37,,4.37,,,,4.37,,4.43,,4.43,,,,4.43
20-21,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",106.0,0.486,4.4,3.89,,3.89,4.53,4.52,4.52,4.16,4.2,4.09,,4.09,4.65,4.59,4.59,4.3
20-21,FALL,Dept,SBM,MIMT,MSc Program in International Management,12.0,0.811,,,,,4.26,4.36,4.34,4.34,,,,,4.5,4.47,4.48,4.48
20-21,FALL,Dept,SBM,MGMT,Management,57.0,0.461,,4.1,,4.1,4.55,4.2,4.26,4.13,,4.25,,4.25,4.53,4.24,4.28,4.25
20-21,FALL,Dept,SBM,MARK,Marketing,27.0,0.407,,4.15,,4.15,5.0,3.63,3.72,4.04,,4.31,,4.31,5.0,3.76,3.84,4.19
20-21,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,5.0,0.381,4.65,4.25,,4.36,,,,4.36,4.6,4.35,,4.41,,,,4.41
20-21,FALL,Dept,SBM,WBBA,SF Program in World Business,1.0,0.295,,4.11,,4.11,,,,4.11,,4.22,,4.22,,,,4.22
20-21,FALL,Dept,SBM,SBMT,School of Business and Management,2.0,0.335,,,,,,4.16,4.16,4.16,,,,,,4.29,4.29,4.29
20-21,FALL,School,SENG,-,-,235.0,0.468,4.24,3.95,4.03,4.0,4.63,4.42,4.46,4.08,4.43,4.12,4.16,4.15,4.73,4.45,4.52,4.22
