Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
19-20,SPRING,University,-,-,-,1374.0,0.414,73.95,73.56,71.31,73.02,87.63,83.19,84.04,75.95,81.34,77.98,74.96,77.84,90.09,85.81,86.65,80.15
19-20,SPRING,School,SBM,-,-,396.0,0.434,82.67,72.35,78.5,73.14,82.95,80.75,80.92,76.25,85.92,77.01,81.19,77.57,84.65,83.38,83.48,79.93
19-20,SPRING,Dept,SBM,ACCT,Accounting,61.0,0.475,85.94,67.6,,67.98,72.0,78.28,78.07,72.88,84.38,69.64,,69.94,74.0,79.84,79.64,74.65
19-20,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.767,,60.61,,60.61,,,,60.61,,71.97,,71.97,,,,71.97
19-20,SPRING,Dept,SBM,ECON,Economics,48.0,0.407,84.62,71.89,74.8,72.71,87.04,86.39,86.53,76.47,84.62,77.48,75.2,77.18,86.57,89.53,88.88,80.36
19-20,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,1.0,0.235,,77.17,,77.17,,,,77.17,,80.43,,80.43,,,,80.43
19-20,SPRING,Dept,SBM,FINA,Finance,59.0,0.457,80.0,76.04,78.88,77.14,86.84,79.33,79.48,78.62,80.0,76.19,82.4,78.56,88.16,81.18,81.32,80.3
19-20,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.616,,80.66,,80.66,,,,80.66,,82.93,,82.93,,,,82.93
19-20,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",108.0,0.408,85.16,68.61,80.59,70.47,93.33,81.12,81.57,74.39,91.94,75.43,83.91,76.84,94.17,84.48,84.83,79.67
19-20,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.81,,,,,84.44,79.72,81.89,81.89,,,,,86.88,84.29,85.67,85.67
19-20,SPRING,Dept,SBM,MGMT,Management,63.0,0.419,76.14,78.37,,78.31,91.67,85.49,85.98,80.8,80.68,84.1,,84.02,95.54,89.9,90.28,86.03
19-20,SPRING,Dept,SBM,MARK,Marketing,30.0,0.421,,74.71,,74.71,90.0,93.15,92.91,76.78,,78.73,,78.73,85.0,95.16,94.4,80.51
19-20,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,4.0,0.326,,72.87,,72.87,,,,72.87,,79.26,,79.26,,,,79.26
19-20,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.631,,69.16,,69.16,,,,69.16,,72.73,,72.73,,,,72.73
19-20,SPRING,Dept,SBM,SBMT,School of Business and Management,10.0,0.393,,,,,73.46,73.77,73.66,73.66,,,,,77.31,77.05,77.14,77.14
19-20,SPRING,School,SENG,-,-,237.0,0.364,81.13,74.68,68.85,72.61,89.09,86.08,87.09,75.56,87.3,79.42,73.49,77.48,90.96,89.45,90.05,79.81
19-20,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,22.0,0.45,76.56,75.17,79.04,76.96,80.77,93.06,83.93,78.3,85.94,83.61,84.04,83.93,83.65,95.83,86.79,84.48
