Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
18-19,SPRING,Dept,IPO,ENVR,Environment and Sustainability,22.0,0.601,80.66,69.42,,70.92,78.13,82.89,81.48,72.7,88.68,77.32,,78.83,90.63,83.33,85.49,79.96
18-19,SPRING,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.659,,,,,,82.87,82.87,82.87,,,,,,86.57,86.57,86.57
18-19,SPRING,Dept,IPO,PPOL,Public Policy,7.0,0.558,,,,,97.22,79.96,81.07,81.07,,,,,100.0,84.16,85.18,85.18
18-19,SPRING,Dept,IPO,RMBI,Risk Management and Business Intelligence,5.0,0.409,,73.42,,73.42,,,,73.42,,78.48,,78.48,,,,78.48
18-19,SPRING,Dept,IPO,TEMG,Technology and Management,2.0,0.58,95.0,79.89,,81.37,,,,81.37,95.0,83.7,,84.8,,,,84.8
18-19,SPRING,School,OTHERS,-,-,11.0,0.547,79.44,83.2,,81.3,,,,81.3,82.66,84.43,,83.54,,,,83.54
18-19,SPRING,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.542,,93.27,,93.27,,,,93.27,,95.19,,95.19,,,,95.19
18-19,SPRING,Dept,OTHERS,UCE,Undergraduate Core Education,9.0,0.548,79.44,75.71,,78.09,,,,78.09,82.66,76.43,,80.41,,,,80.41
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
UG(Small): Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
UG(Medium): Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
UG(Large): Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
PG(Small): Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
PG(Medium): Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,,,,,,,,,,,,,
2019-06-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
