Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
23-24,FALL,Dept,SSCI,OCES,Ocean Science,16.0,0.493,,4.24,3.88,4.07,,4.49,4.49,4.2,,4.23,3.88,4.06,,4.53,4.53,4.13
23-24,FALL,Dept,SSCI,PHYS,Physics,38.0,0.385,4.8,3.93,3.74,3.83,4.52,4.6,4.56,3.87,4.8,4.11,3.84,3.97,4.57,4.65,4.6,4.0
23-24,FALL,Dept,SSCI,SCIE,School of Science,2.0,0.65,4.38,,,4.38,,,,4.38,4.38,,,4.38,,,,4.38
23-24,FALL,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.291,,,,,5.0,4.43,4.37,4.37,,,,,5.0,4.51,4.4,4.4
23-24,FALL,School,LANG/LABU/LAGR,-,-,384.0,0.554,3.95,3.95,,3.95,4.74,4.67,4.69,4.02,4.34,4.32,,4.33,4.82,4.79,4.8,4.38
23-24,FALL,Dept,LANG/LABU/LAGR,LANG,Language,340.0,0.571,3.96,3.95,,3.96,4.74,4.67,4.69,4.04,4.34,4.32,,4.34,4.82,4.79,4.8,4.39
23-24,FALL,Dept,LANG/LABU/LAGR,LABU,Language for Business,44.0,0.431,3.87,,,3.87,,,,3.87,4.29,,,4.29,,,,4.29
23-24,FALL,School,AIS,-,-,64.0,0.584,4.36,4.0,,4.05,4.7,4.52,4.53,4.34,4.5,4.22,,4.25,4.79,4.58,4.6,4.43
23-24,FALL,Dept,AIS,CTDL,Critical Thinking and Data Literacy,2.0,0.439,,3.9,,3.9,,,,3.9,,4.07,,4.07,,,,4.07
23-24,FALL,Dept,AIS,EMIA,Division of Emerging Interdisciplinary Areas,5.0,0.794,4.07,4.27,,4.22,4.78,,4.78,4.35,4.21,4.6,,4.51,4.83,,4.83,4.63
23-24,FALL,Dept,AIS,ENVR,Environment and Sustainability,18.0,0.512,4.57,3.89,,3.91,4.6,4.3,4.33,4.04,4.71,4.18,,4.19,4.77,4.44,4.5,4.28
23-24,FALL,Dept,AIS,EVSM,Environmental Science and Management,3.0,0.57,,,,,,4.47,4.47,4.47,,,,,,4.54,4.54,4.54
23-24,FALL,Dept,AIS,ISDN,Integrative Systems and Design,12.0,0.476,4.35,4.05,,4.16,4.69,4.79,4.76,4.38,4.36,4.33,,4.34,4.69,4.84,4.8,4.47
23-24,FALL,Dept,AIS,IDPO,Interdisciplinary Programs Office,2.0,0.478,4.18,,,4.18,,,,4.18,4.69,,,4.69,,,,4.69
23-24,FALL,Dept,AIS,PPOL,Public Policy,19.0,0.688,,4.57,,4.57,,4.56,4.56,4.56,,4.64,,4.64,,4.6,4.6,4.6
23-24,FALL,Dept,AIS,TEMG,Technology and Management,3.0,0.745,4.89,4.47,,4.56,,,,4.56,5.0,4.67,,4.73,,,,4.73
23-24,FALL,School,OTHERS,-,-,12.0,0.656,,4.68,,4.68,,4.5,4.5,4.51,,4.59,,4.59,,4.75,4.75,4.72
23-24,FALL,Dept,OTHERS,CEI,Center for Education Innovation,10.0,0.665,,,,,,4.5,4.5,4.5,,,,,,4.75,4.75,4.75
23-24,FALL,Dept,OTHERS,DSTO,Dean of Students' Office,2.0,0.567,,4.68,,4.68,,,,4.68,,4.59,,4.59,,,,4.59
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
Small UG: Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium UG: Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
Large UG: Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
Small PG: Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium PG: Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
Overall: Mean of responses of all courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by SEA,,,,,,,,,,,,,,,,,,,,,,,
2024-01-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
