Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
22-23,SPRING,University,-,-,-,1454.0,0.48,3.85,4.04,3.82,3.95,4.58,4.48,4.5,4.1,4.23,4.2,3.95,4.14,4.67,4.54,4.56,4.26
22-23,SPRING,School,SBM,-,-,430.0,0.468,4.21,4.15,3.59,4.11,4.57,4.48,4.49,4.26,4.19,4.32,3.73,4.28,4.67,4.56,4.57,4.39
22-23,SPRING,Dept,SBM,ACCT,Accounting,56.0,0.469,5.0,4.2,,4.2,4.73,4.47,4.49,4.32,4.67,4.33,,4.33,4.73,4.53,4.54,4.42
22-23,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.216,,3.75,,3.75,,,,3.75,,4.38,,4.38,,,,4.38
22-23,SPRING,Dept,SBM,ECON,Economics,56.0,0.473,4.25,4.0,4.22,4.03,4.7,4.65,4.65,4.23,4.5,4.18,4.36,4.21,4.75,4.67,4.69,4.36
22-23,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.388,,4.42,,4.42,,,,4.42,,4.26,,4.26,,,,4.26
22-23,SPRING,Dept,SBM,FINA,Finance,66.0,0.48,,4.2,,4.2,4.8,4.6,4.61,4.44,,4.39,,4.39,4.84,4.68,4.68,4.56
22-23,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.479,4.5,4.0,,4.01,,,,4.01,4.5,4.26,,4.26,,,,4.26
22-23,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",119.0,0.438,3.89,4.11,3.46,3.97,4.58,4.45,4.45,4.16,4.04,4.29,3.61,4.14,4.76,4.54,4.54,4.3
22-23,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.815,,,,,4.62,3.81,4.02,4.02,,,,,4.7,4.07,4.23,4.23
22-23,SPRING,Dept,SBM,MGMT,Management,75.0,0.501,4.35,4.21,,4.21,4.27,4.42,4.38,4.25,3.88,4.41,,4.4,4.43,4.51,4.49,4.42
22-23,SPRING,Dept,SBM,MARK,Marketing,33.0,0.451,,4.15,,4.15,4.9,4.36,4.48,4.24,,4.31,,4.31,4.98,4.43,4.55,4.38
22-23,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,4.0,0.374,,4.0,,4.0,,,,4.0,,4.19,,4.19,,,,4.19
