Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
21-22,SPRING,University,-,-,-,1458.0,0.496,3.64,4.06,3.9,3.94,4.61,4.49,4.51,4.12,4.09,4.16,3.99,4.1,4.67,4.52,4.54,4.24
21-22,SPRING,School,SBM,-,-,428.0,0.491,4.04,4.06,4.07,4.06,4.63,4.43,4.45,4.23,4.06,4.17,4.19,4.17,4.7,4.47,4.48,4.31
21-22,SPRING,Dept,SBM,ACCT,Accounting,54.0,0.514,3.64,4.11,,4.11,4.8,4.52,4.53,4.32,3.64,4.2,,4.19,4.85,4.54,4.55,4.37
21-22,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.5,,4.0,,4.0,,,,4.0,,4.27,,4.27,,,,4.27
21-22,SPRING,Dept,SBM,ECON,Economics,60.0,0.508,4.26,4.04,4.2,4.06,4.46,4.69,4.66,4.28,4.3,4.14,4.41,4.17,4.62,4.71,4.7,4.36
21-22,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.391,,4.16,,4.16,,,,4.16,,4.2,,4.2,,,,4.2
21-22,SPRING,Dept,SBM,FINA,Finance,66.0,0.495,,4.14,4.16,4.14,4.56,4.52,4.52,4.37,,4.25,4.21,4.25,4.57,4.55,4.55,4.43
21-22,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.352,4.73,4.39,,4.44,,,,4.44,4.64,4.39,,4.43,,,,4.43
21-22,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",115.0,0.478,3.79,3.98,4.02,3.98,4.75,4.34,4.36,4.15,3.76,4.12,4.14,4.11,4.8,4.38,4.39,4.24
21-22,SPRING,Dept,SBM,MIMT,MSc Program in International Management,10.0,0.61,,,,,4.6,3.91,4.0,4.0,,,,,4.65,4.05,4.13,4.13
21-22,SPRING,Dept,SBM,MGMT,Management,65.0,0.482,4.05,4.09,,4.09,4.64,4.55,4.55,4.22,4.19,4.22,,4.22,4.64,4.58,4.58,4.32
21-22,SPRING,Dept,SBM,MARK,Marketing,35.0,0.469,,4.07,,4.07,4.65,4.08,4.14,4.09,,4.14,,4.14,4.76,4.08,4.15,4.14
21-22,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,6.0,0.392,,4.08,,4.08,,,,4.08,,4.13,,4.13,,,,4.13
21-22,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.659,,3.67,,3.67,,,,3.67,,3.67,,3.67,,,,3.67
21-22,SPRING,Dept,SBM,SBMT,School of Business and Management,12.0,0.533,4.17,,,4.17,4.66,4.21,4.29,4.28,4.17,,,4.17,4.7,4.25,4.32,4.32
21-22,SPRING,School,SENG,-,-,237.0,0.43,4.17,4.08,3.99,4.05,4.62,4.6,4.57,4.14,4.27,4.17,4.06,4.13,4.66,4.59,4.58,4.21
21-22,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,21.0,0.481,4.31,3.9,4.21,4.11,4.41,4.76,4.63,4.2,4.38,4.02,4.32,4.22,4.44,4.86,4.71,4.3
21-22,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,35.0,0.413,3.78,3.96,3.89,3.9,4.64,4.49,4.54,4.0,3.89,4.07,3.93,3.96,4.66,4.44,4.51,4.04
21-22,SPRING,Dept,SENG,COMP,Computer Science and Engineering,65.0,0.408,,4.19,4.31,4.22,4.89,4.64,4.65,4.28,,4.31,4.4,4.33,4.89,4.63,4.64,4.38
21-22,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,42.0,0.442,4.24,3.96,4.03,3.99,4.62,4.54,4.57,4.13,4.34,4.0,4.13,4.05,4.7,4.54,4.59,4.17
21-22,SPRING,Dept,SENG,ENEG,Energy Technology,2.0,0.4,4.43,,,4.43,5.0,,5.0,4.5,4.29,,,4.29,5.0,,5.0,4.38
21-22,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.391,,4.16,,4.16,,,,4.16,,4.2,,4.2,,,,4.2
21-22,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.36,4.14,3.97,,4.0,4.92,,4.92,4.05,4.1,4.07,,4.07,4.92,,4.92,4.12
21-22,SPRING,Dept,SENG,ISDN,Integrative Systems and Design,16.0,0.537,4.53,4.27,,4.35,4.61,,4.61,4.39,4.72,4.23,,4.39,4.56,,4.56,4.41
21-22,SPRING,Dept,SENG,MECH,Mechanical Engineering,29.0,0.505,4.35,3.95,3.28,3.72,4.59,4.84,4.65,3.88,4.47,4.09,3.35,3.83,4.64,4.8,4.68,3.98
21-22,SPRING,Dept,SENG,PDEV-SENG,Professional Development for SENG,1.0,0.382,,,,,,,4.33,4.33,,,,,,,4.38,4.38
21-22,SPRING,Dept,SENG,ENGG,School of Engineering,8.0,0.551,3.85,4.24,,4.2,,,,4.2,4.08,4.24,,4.23,,,,4.23
21-22,SPRING,School,SHSS,-,-,106.0,0.526,4.39,4.17,4.12,4.16,4.7,4.57,4.59,4.3,4.44,4.26,4.2,4.23,4.74,4.62,4.65,4.37
21-22,SPRING,Dept,SHSS,HUMA,Humanities,40.0,0.502,4.48,4.14,4.07,4.11,4.84,4.68,4.74,4.2,4.55,4.23,4.16,4.2,4.86,4.78,4.81,4.29
21-22,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,1.0,0.808,,,,,,4.81,4.81,4.81,,,,,,4.81,4.81,4.81
21-22,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,9.0,0.75,,,,,4.8,4.62,4.62,4.62,,,,,4.8,4.66,4.67,4.67
21-22,SPRING,Dept,SHSS,MILE,MSc Program in International Language Education,11.0,0.907,,,,,4.49,4.31,4.35,4.35,,,,,4.52,4.37,4.41,4.41
21-22,SPRING,Dept,SHSS,MASS,Master of Arts in Social Science,4.0,0.789,,,,,,4.61,4.61,4.61,,,,,,4.67,4.67,4.67
21-22,SPRING,Dept,SHSS,SOSC,Social Science,34.0,0.436,4.86,4.21,4.2,4.22,4.72,4.74,4.72,4.25,4.79,4.29,4.25,4.28,4.79,4.68,4.76,4.31
21-22,SPRING,Dept,SHSS,HART,Studio Arts courses offered by HUMA,7.0,0.57,4.18,4.21,,4.19,,,,4.19,4.24,4.29,,4.26,,,,4.26
21-22,SPRING,School,SSCI,-,-,219.0,0.462,4.1,3.99,3.74,3.85,4.62,4.57,4.58,4.03,4.06,4.07,3.84,3.94,4.66,4.58,4.59,4.1
21-22,SPRING,Dept,SSCI,CHMS,Analytical Chemistry,6.0,0.343,,,,,,4.55,4.55,4.55,,,,,,4.58,4.58,4.58
21-22,SPRING,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.5,,4.0,,4.0,,,,4.0,,4.27,,4.27,,,,4.27
21-22,SPRING,Dept,SSCI,CHEM,Chemistry,39.0,0.468,3.82,3.84,3.83,3.83,,4.59,4.59,3.84,3.77,3.97,3.85,3.9,,4.65,4.65,3.91
21-22,SPRING,Dept,SSCI,ENTR-SSCI,Entrepreneurship,2.0,0.391,,4.16,,4.16,,,,4.16,,4.2,,4.2,,,,4.2
21-22,SPRING,Dept,SSCI,LIFS,Life Science,29.0,0.435,4.41,4.1,3.98,4.05,4.82,4.61,4.61,4.22,4.41,4.15,4.02,4.09,4.91,4.61,4.62,4.25
21-22,SPRING,Dept,SSCI,MAED,MSc Program in Mathematics for Educators,5.0,0.758,,,,,,4.53,4.53,4.53,,,,,,4.56,4.56,4.56
21-22,SPRING,Dept,SSCI,MSDM,MSc in Data-Driven Modeling Program,5.0,0.635,,,,,,4.43,4.43,4.43,,,,,,4.42,4.42,4.42
21-22,SPRING,Dept,SSCI,MATH,Mathematics,71.0,0.432,4.06,4.0,3.31,3.66,4.78,4.81,4.8,3.75,3.94,4.06,3.52,3.79,4.75,4.85,4.8,3.87
21-22,SPRING,Dept,SSCI,NANO,NANO Science and Technology,1.0,0.692,,,,,4.72,,4.72,4.72,,,,,4.67,,4.67,4.67
21-22,SPRING,Dept,SSCI,OCES,Ocean Science,15.0,0.517,4.27,4.03,3.93,3.99,4.51,4.49,4.5,4.13,4.27,4.07,3.95,4.01,4.63,4.56,4.58,4.19
21-22,SPRING,Dept,SSCI,PHYS,Physics,32.0,0.489,4.13,4.04,3.82,3.88,4.5,4.55,4.53,3.92,4.15,4.11,3.96,4.0,4.59,4.53,4.56,4.04
21-22,SPRING,Dept,SSCI,SCIE,School of Science,4.0,0.415,4.5,4.3,3.85,4.03,,,,4.03,4.0,4.35,3.94,4.08,,,,4.08
21-22,SPRING,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),9.0,0.446,,,,,3.75,4.67,4.63,4.63,,,,,3.75,4.66,4.62,4.62
21-22,SPRING,School,LANG/LABU/LAGR,-,-,367.0,0.62,3.54,4.55,,3.58,4.55,,4.55,3.66,4.06,4.66,,4.09,4.65,,4.65,4.13
21-22,SPRING,Dept,LANG/LABU/LAGR,LANG,Language,309.0,0.643,3.48,4.55,,3.53,4.55,,4.55,3.63,4.03,4.66,,4.06,4.65,,4.65,4.11
21-22,SPRING,Dept,LANG/LABU/LAGR,LABU,Language for Business,58.0,0.488,3.91,,,3.91,,,,3.91,4.27,,,4.27,,,,4.27
21-22,SPRING,School,IPO,-,-,57.0,0.634,4.18,3.98,,3.99,4.79,4.52,4.54,4.31,4.33,4.12,,4.14,4.86,4.54,4.56,4.38
21-22,SPRING,Dept,IPO,ENVR,Environment and Sustainability,26.0,0.577,4.0,3.9,,3.9,4.86,4.45,4.47,4.09,4.27,4.06,,4.06,4.79,4.44,4.46,4.2
21-22,SPRING,Dept,IPO,EVSM,Environmental Science and Management,3.0,0.662,,,,,,4.23,4.23,4.23,,,,,,4.33,4.33,4.33
21-22,SPRING,Dept,IPO,IDPO,Interdisciplinary Programs Office,3.0,0.55,4.0,,,4.0,,,,4.0,4.18,,,4.18,,,,4.18
21-22,SPRING,Dept,IPO,PPOL,Public Policy,22.0,0.708,4.5,4.41,,4.44,4.76,4.61,4.62,4.61,4.5,4.41,,4.44,4.9,4.63,4.64,4.63
21-22,SPRING,Dept,IPO,TEMG,Technology and Management,3.0,0.775,5.0,4.34,,4.36,,,,4.36,5.0,4.46,,4.48,,,,4.48
21-22,SPRING,School,OTHERS,-,-,6.0,0.668,4.62,4.48,,4.53,,4.54,4.54,4.53,4.62,4.56,,4.58,,4.64,4.64,4.63
21-22,SPRING,Dept,OTHERS,CEI,Center for Education Innovation,2.0,0.745,,,,,,4.54,4.54,4.54,,,,,,4.64,4.64,4.64
21-22,SPRING,Dept,OTHERS,DSTO,Dean of Students' Office,4.0,0.475,4.62,4.48,,4.53,,,,4.53,4.62,4.56,,4.58,,,,4.58
21-22,SPRING,School,FUNHUB,-,-,8.0,0.679,,,,,4.8,4.25,4.45,4.45,,,,,4.83,4.22,4.44,4.44
21-22,SPRING,Dept,FUNHUB,AMAT,Advanced Materials,2.0,0.75,,,,,5.0,,5.0,5.0,,,,,5.0,,5.0,5.0
21-22,SPRING,Dept,FUNHUB,FUNH,Function Hub Core Course,1.0,0.652,,,,,,4.25,4.25,4.25,,,,,,4.22,4.22,4.22
21-22,SPRING,Dept,FUNHUB,MICS,Microelectronics,2.0,0.636,,,,,4.71,,4.71,4.71,,,,,4.71,,4.71,4.71
21-22,SPRING,Dept,FUNHUB,SEEN,Sustainable Energy and Environment,3.0,0.759,,,,,4.77,,4.77,4.77,,,,,4.82,,4.82,4.82
21-22,SPRING,School,INFHUB,-,-,18.0,0.743,,,,,4.68,4.32,4.47,4.47,,,,,4.68,4.33,4.47,4.47
21-22,SPRING,Dept,INFHUB,AIAA,Artificial Intelligence,3.0,0.833,,,,,4.9,,4.9,4.9,,,,,4.9,,4.9,4.9
21-22,SPRING,Dept,INFHUB,CMAA,Computational Media and Arts,4.0,0.875,,,,,4.65,,4.65,4.65,,,,,4.63,,4.63,4.63
21-22,SPRING,Dept,INFHUB,DSAA,Data Science and Analytics,7.0,0.736,,,,,4.7,4.5,4.56,4.56,,,,,4.78,4.52,4.59,4.59
21-22,SPRING,Dept,INFHUB,INFH,Information Hub Core Course,1.0,0.667,,,,,,4.22,4.22,4.22,,,,,,4.22,4.22,4.22
21-22,SPRING,Dept,INFHUB,IOTA,Internet of Things,3.0,0.875,,,,,4.62,,4.62,4.62,,,,,4.57,,4.57,4.57
21-22,SPRING,School,SOCHUB,-,-,11.0,0.84,,,,,4.26,5.0,4.44,4.44,,,,,4.37,5.0,4.52,4.52
21-22,SPRING,Dept,SOCHUB,FTEC,Financial Technology,2.0,0.909,,,,,4.9,,4.9,4.9,,,,,4.9,,4.9,4.9
21-22,SPRING,Dept,SOCHUB,IPEN,Innovation Policy and Entrepreneurship,5.0,0.8,,,,,3.63,5.0,4.14,4.14,,,,,3.8,5.0,4.25,4.25
21-22,SPRING,Dept,SOCHUB,UGOD,Urban Governance and Design,4.0,0.92,,,,,4.96,,4.96,4.96,,,,,5.0,,5.0,5.0
21-22,SPRING,School,SYSHUB,-,-,6.0,0.743,,,,,4.48,3.85,4.18,4.18,,,,,4.55,4.08,4.33,4.33
21-22,SPRING,Dept,SYSHUB,BSBE,Bioscience & Biomedical Engineering,1.0,0.714,,,,,4.8,,4.8,4.8,,,,,4.8,,4.8,4.8
21-22,SPRING,Dept,SYSHUB,INTR,Intelligent Transportation,3.0,0.88,,,,,4.36,,4.36,4.36,,,,,4.45,,4.45,4.45
21-22,SPRING,Dept,SYSHUB,SMMG,Smart Manufacturing,1.0,0.667,,,,,5.0,,5.0,5.0,,,,,5.0,,5.0,5.0
21-22,SPRING,Dept,SYSHUB,SYSH,Systems Hub Core Course,1.0,0.667,,,,,,3.85,3.85,3.85,,,,,,4.08,4.08,4.08
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
Small UG: Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium UG: Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
Large UG: Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
Small PG: Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium PG: Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
Overall: Mean of responses of all courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
