Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
23-24,SPRING,University,-,-,-,1513.0,0.394,3.95,4.07,3.96,4.02,4.62,4.49,4.51,4.19,4.31,4.21,4.05,4.18,4.66,4.56,4.57,4.31
23-24,SPRING,School,SBM,-,-,435.0,0.377,4.27,4.09,3.8,4.08,4.56,4.44,4.45,4.24,4.35,4.22,3.97,4.21,4.63,4.51,4.52,4.35
23-24,SPRING,Dept,SBM,ACCT,Accounting,47.0,0.346,3.67,4.2,,4.19,4.78,4.57,4.57,4.34,4.17,4.35,,4.34,4.89,4.61,4.62,4.45
23-24,SPRING,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.31,,2.85,,2.85,,,,2.85,,3.0,,3.0,,,,3.0
23-24,SPRING,Dept,SBM,ECON,Economics,59.0,0.361,4.1,4.1,,4.1,4.68,4.62,4.63,4.3,4.23,4.23,,4.23,4.73,4.69,4.69,4.4
23-24,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.571,4.63,,,4.63,,,,4.63,4.38,,,4.38,,,,4.38
23-24,SPRING,Dept,SBM,FINA,Finance,71.0,0.484,,3.9,3.95,3.91,4.62,4.52,4.53,4.27,,3.96,4.02,3.97,4.69,4.6,4.61,4.35
23-24,SPRING,Dept,SBM,GBUS,Global Business,6.0,0.319,5.0,4.35,,4.38,,,,4.38,5.0,4.52,,4.54,,,,4.54
23-24,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",116.0,0.329,4.71,4.02,3.77,3.99,4.17,4.43,4.41,4.16,4.71,4.15,3.95,4.13,4.37,4.49,4.48,4.27
23-24,SPRING,Dept,SBM,MFIT-SBM,MSc Program in Financial Technology,8.0,0.313,,,,,4.83,4.56,4.58,4.58,,,,,4.67,4.57,4.57,4.57
23-24,SPRING,Dept,SBM,MIMT,MSc Program in International Management,6.0,0.638,,,,,4.7,4.06,4.12,4.12,,,,,4.7,4.2,4.25,4.25
23-24,SPRING,Dept,SBM,MGMT,Management,68.0,0.372,,4.16,,4.16,4.6,4.46,4.5,4.25,,4.34,,4.34,4.63,4.53,4.56,4.41
23-24,SPRING,Dept,SBM,MARK,Marketing,41.0,0.368,4.0,4.32,,4.32,4.9,4.11,4.16,4.24,4.0,4.38,,4.38,4.86,4.2,4.24,4.32
23-24,SPRING,Dept,SBM,RMBI,Risk Management and Business Intelligence,5.0,0.42,4.0,3.48,,3.5,,,,3.5,4.33,3.66,,3.69,,,,3.69
23-24,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.673,,4.23,,4.23,,,,4.23,,4.33,,4.33,,,,4.33
23-24,SPRING,Dept,SBM,SBMT,School of Business and Management,8.0,0.655,4.5,,,4.5,4.5,4.24,4.26,4.27,4.5,,,4.5,4.38,4.38,4.38,4.38
23-24,SPRING,Dept,SBM,SBMT-SBM,School of Business and Management-SENG,1.0,0.418,,,,,,4.3,4.3,4.3,,,,,,4.41,4.41,4.41
23-24,SPRING,School,SENG,-,-,334.0,0.363,4.34,4.09,4.02,4.08,4.71,4.52,4.55,4.28,4.41,4.24,4.12,4.21,4.74,4.58,4.6,4.38
23-24,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,17.0,0.468,3.57,3.82,4.5,3.97,4.54,4.82,4.64,4.07,4.29,3.98,4.77,4.17,4.54,4.94,4.69,4.24
23-24,SPRING,Dept,SENG,CIEM,Civil Infrastructural Engineering and Management,10.0,0.307,,,,,4.8,4.39,4.47,4.47,,,,,4.8,4.49,4.55,4.55
23-24,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,32.0,0.284,4.6,4.08,3.89,3.96,4.79,,4.79,4.04,4.6,4.17,3.99,4.04,4.86,,4.86,4.1
23-24,SPRING,Dept,SENG,COMP,Computer Science and Engineering,75.0,0.331,4.42,4.14,4.29,4.18,4.66,4.6,4.61,4.24,4.48,4.33,4.59,4.39,4.76,4.65,4.67,4.43
23-24,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,45.0,0.334,4.75,4.21,3.88,4.04,4.76,4.41,4.56,4.21,4.81,4.31,3.9,4.09,4.79,4.54,4.63,4.3
23-24,SPRING,Dept,SENG,ENEG,Energy Technology,1.0,0.692,3.89,,,3.89,,,,3.89,4.11,,,4.11,,,,4.11
23-24,SPRING,Dept,SENG,EEMT,Engineering Enterprise Management,5.0,0.51,,,,,,4.33,4.33,4.33,,,,,,4.43,4.43,4.43
23-24,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.571,4.63,,,4.63,,,,4.63,4.38,,,4.38,,,,4.38
23-24,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,14.0,0.289,4.22,4.02,3.95,4.03,4.25,4.27,4.27,4.05,4.39,4.02,3.97,4.05,4.25,4.36,4.33,4.07
23-24,SPRING,Dept,SENG,CSIT,Information Technology,7.0,0.319,,,,,4.87,4.61,4.65,4.65,,,,,4.93,4.63,4.67,4.67
23-24,SPRING,Dept,SENG,IBTM,Intelligent Building Technology and Management,6.0,0.42,,,,,,4.49,4.49,4.49,,,,,,4.53,4.53,4.53
23-24,SPRING,Dept,SENG,MFIT-SENG,MSc Program in Financial Technology,8.0,0.313,,,,,4.83,4.56,4.58,4.58,,,,,4.67,4.57,4.57,4.57
