Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
22-23,WINTER,University,-,-,-,29.0,0.396,4.32,4.03,3.97,4.03,4.67,4.37,4.39,4.19,4.32,4.15,4.33,4.24,4.78,4.57,4.58,4.42
22-23,WINTER,School,SBM,-,-,17.0,0.432,4.75,3.96,4.19,4.11,5.0,4.31,4.33,4.23,4.5,4.24,4.33,4.3,5.0,4.54,4.55,4.44
22-23,WINTER,Dept,SBM,ECON,Economics,2.0,0.275,,,,,,4.46,4.46,4.46,,,,,,4.54,4.54,4.54
22-23,WINTER,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",12.0,0.436,4.75,3.96,4.19,4.11,5.0,4.34,4.37,4.22,4.5,4.24,4.33,4.3,5.0,4.53,4.56,4.39
22-23,WINTER,Dept,SBM,MARK,Marketing,1.0,0.625,,,,,,3.76,3.76,3.76,,,,,,4.4,4.4,4.4
22-23,WINTER,Dept,SBM,SBMT,School of Business and Management,2.0,0.514,,,,,,4.44,4.44,4.44,,,,,,4.59,4.59,4.59
22-23,WINTER,School,SENG,-,-,7.0,0.297,4.21,4.11,3.46,3.9,,,,3.9,4.21,4.05,,4.1,,,,4.1
22-23,WINTER,Dept,SENG,CIVL,Civil and Environmental Engineering,1.0,0.174,,,3.46,3.46,,,,3.46,,,,,,,,
22-23,WINTER,Dept,SENG,COMP,Computer Science and Engineering,4.0,0.432,3.2,4.11,,4.04,,,,4.04,3.6,4.05,,4.01,,,,4.01
22-23,WINTER,Dept,SENG,ENGG,School of Engineering,2.0,0.821,4.43,,,4.43,,,,4.43,4.35,,,4.35,,,,4.35
22-23,WINTER,School,SHSS,-,-,4.0,0.52,,,,,4.5,4.68,4.64,4.64,,,,,4.67,4.76,4.74,4.74
22-23,WINTER,Dept,SHSS,MGCS,MSc Program in Global China Studies,2.0,0.539,,,,,,4.68,4.68,4.68,,,,,,4.76,4.76,4.76
22-23,WINTER,Dept,SHSS,MASS,Master of Arts in Social Science,1.0,0.368,,,,,4.29,,4.29,4.29,,,,,4.43,,4.43,4.43
22-23,WINTER,Dept,SHSS,SOSC,Social Science,1.0,0.714,,,,,4.8,,4.8,4.8,,,,,5.0,,5.0,5.0
22-23,WINTER,School,IPO,-,-,1.0,0.375,4.5,,,4.5,,,,4.5,4.67,,,4.67,,,,4.67
22-23,WINTER,Dept,IPO,TEMG,Technology and Management,1.0,0.375,4.5,,,4.5,,,,4.5,4.67,,,4.67,,,,4.67
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
Small UG: Undergraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium UG: Undergraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
Large UG: Undergraduate courses with enrolment over 100,,,,,,,,,,,,,,,,,,,,,,,
UG Mean: Mean of responses of all UG courses,,,,,,,,,,,,,,,,,,,,,,,
Small PG: Postgraduate courses with enrolment up to 20,,,,,,,,,,,,,,,,,,,,,,,
Medium PG: Postgraduate courses with enrolment from 21-100,,,,,,,,,,,,,,,,,,,,,,,
PG Mean: Mean of responses of all PG courses,,,,,,,,,,,,,,,,,,,,,,,
Overall: Mean of responses of all courses,,,,,,,,,,,,,,,,,,,,,,,
"If there is no entry, there were no classes of the type indicated.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
