Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
21-22,FALL,University,-,-,-,1431.0,0.505,4.04,4.07,3.94,4.02,4.67,4.41,4.44,4.15,4.36,4.19,4.02,4.15,4.73,4.45,4.49,4.26
21-22,FALL,School,SBM,-,-,407.0,0.497,4.58,4.05,4.02,4.06,4.69,4.35,4.36,4.2,4.69,4.18,4.12,4.18,4.74,4.39,4.4,4.28
21-22,FALL,Dept,SBM,ACCT,Accounting,54.0,0.477,,4.09,3.83,4.07,,4.52,4.52,4.27,,4.21,3.89,4.18,,4.56,4.56,4.35
21-22,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.852,,4.0,,4.0,,,,4.0,,4.3,,4.3,,,,4.3
21-22,FALL,Dept,SBM,ECON,Economics,69.0,0.564,4.52,4.08,4.13,4.1,4.8,4.58,4.58,4.31,4.64,4.17,4.17,4.18,4.84,4.61,4.6,4.36
21-22,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.415,,4.23,,4.23,,,,4.23,,4.45,,4.45,,,,4.45
21-22,FALL,Dept,SBM,FINA,Finance,54.0,0.54,,4.09,4.12,4.09,5.0,4.27,4.27,4.21,,4.26,4.32,4.27,5.0,4.29,4.29,4.29
21-22,FALL,Dept,SBM,GBUS,Global Business,4.0,0.569,4.43,3.96,,3.99,,,,3.99,4.57,4.1,,4.13,,,,4.13
21-22,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",122.0,0.49,4.69,4.01,,4.02,4.65,4.33,4.33,4.18,4.77,4.14,,4.15,4.75,4.37,4.38,4.27
21-22,FALL,Dept,SBM,MIMT,MSc Program in International Management,9.0,0.714,,,,,4.75,4.45,4.46,4.46,,,,,4.75,4.49,4.5,4.5
