Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
24-25,SUMMER,University,-,-,-,123.0,0.384,4.5,4.22,4.3,4.29,4.6,4.39,4.43,4.34,4.57,4.34,4.44,4.4,4.65,4.43,4.46,4.43
24-25,SUMMER,School,SBM,-,-,49.0,0.479,4.58,4.5,,4.52,4.63,4.38,4.42,4.45,4.69,4.59,,4.62,4.63,4.42,4.44,4.47
24-25,SUMMER,Dept,SBM,ACCT,Accounting,7.0,0.324,4.6,4.45,,4.47,4.67,4.18,4.25,4.39,4.8,4.48,,4.53,4.67,4.06,4.15,4.39
24-25,SUMMER,Dept,SBM,ECON,Economics,5.0,0.5,,4.5,,4.5,,4.45,4.45,4.47,,4.68,,4.68,,4.45,4.45,4.52
24-25,SUMMER,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.324,5.0,4.67,,4.73,,,,4.73,5.0,4.72,,4.75,,,,4.75
24-25,SUMMER,Dept,SBM,FINA,Finance,2.0,0.429,5.0,4.77,,4.86,,,,4.86,5.0,4.69,,4.81,,,,4.81
24-25,SUMMER,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",15.0,0.453,4.38,4.25,,4.33,4.79,4.45,4.5,4.45,4.53,4.31,,4.46,4.64,4.58,4.6,4.56
24-25,SUMMER,Dept,SBM,MIMT,MSc Program in International Management,3.0,0.717,,,,,4.51,,4.51,4.51,,,,,4.58,,4.58,4.58
24-25,SUMMER,Dept,SBM,MGMT,Management,8.0,0.507,,4.53,,4.53,,4.48,4.48,4.49,,4.65,,4.65,,4.43,4.43,4.45
24-25,SUMMER,Dept,SBM,MARK,Marketing,3.0,0.683,5.0,,,5.0,,3.0,3.0,3.24,5.0,,,5.0,,3.14,3.14,3.37
