Academic Year,Term,Level of Statistics,School,Department Code,Department Name,No. of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
25-26,Fall,Department,SHSS,HUMA,Humanities,45.0,0.426,4.71,4.15,4.07,4.12,4.75,4.54,4.65,4.19,4.71,4.24,4.27,4.26,4.8,4.55,4.7,4.32
25-26,Fall,Department,SHSS,HMMA,MA Program in Chinese Culture,3.0,0.787,-,-,-,-,-,4.67,4.67,4.67,-,-,-,-,-,4.76,4.76,4.76
25-26,Fall,Department,SHSS,MASS,Master of Arts in Social Science,10.0,0.669,-,-,-,-,-,4.6,4.6,4.6,-,-,-,-,-,4.74,4.74,4.74
25-26,Fall,Department,SHSS,MGCS,MSc Program in Global China Studies,9.0,0.797,-,-,-,-,-,4.69,4.69,4.69,-,-,-,-,-,4.75,4.75,4.75
25-26,Fall,Department,SHSS,MILE,MSc Program in International Language Education,6.0,0.933,-,-,-,-,-,4.55,4.55,4.55,-,-,-,-,-,4.69,4.69,4.69
25-26,Fall,Department,SHSS,HSS,School of Humanities & Social Science,3.0,0.323,4.1,-,-,4.1,-,-,-,4.1,4.03,-,-,4.03,-,-,-,4.03
25-26,Fall,Department,SHSS,SOSC,Social Science,34.0,0.381,4.53,4.21,4.17,4.2,4.87,-,4.87,4.24,4.59,4.36,4.23,4.32,4.89,-,4.89,4.35
25-26,Fall,School,SSCI,-,-,279.0,0.44,4.29,4.06,4,4.03,4.59,4.53,4.54,4.14,4.49,4.15,4.08,4.11,4.64,4.63,4.64,4.23
25-26,Fall,Department,SSCI,CHMS,Analytical Chemistry,4.0,0.579,-,-,-,-,-,4.75,4.75,4.75,-,-,-,-,-,4.77,4.77,4.77
25-26,Fall,Department,SSCI,BTEC,Biotechnology,6.0,0.482,-,-,-,-,-,4.4,4.4,4.4,-,-,-,-,-,4.5,4.5,4.5
25-26,Fall,Department,SSCI,CHEM,Chemistry,43.0,0.476,4.3,4.09,3.95,4.03,4.45,4.69,4.59,4.05,4.41,4.19,4.08,4.13,4.33,4.71,4.54,4.15
25-26,Fall,Department,SSCI,DASC,Data Analytics in Science,6.0,0.461,3.82,4.11,-,4.08,-,-,-,4.08,4.09,4.21,-,4.2,-,-,-,4.2
25-26,Fall,Department,SSCI,LIFS,Life Science,38.0,0.419,4.68,4.1,4.02,4.06,4.48,4.54,4.53,4.11,4.76,4.17,4.03,4.1,4.65,4.66,4.66,4.22
25-26,Fall,Department,SSCI,MATH,Mathematics,84.0,0.395,4.14,3.97,4.02,4.01,4.63,4.58,4.64,4.06,4.27,3.96,4.06,4.04,4.69,4.63,4.7,4.09
25-26,Fall,Department,SSCI,MSDM,MSc in Data-Driven Modeling Program,7.0,0.666,-,-,-,-,-,4.47,4.47,4.47,-,-,-,-,-,4.65,4.65,4.65
25-26,Fall,Department,SSCI,DRAP,MSc in Drug Regulatory Affairs and Policy,6.0,0.345,-,-,-,-,-,4.57,4.57,4.57,-,-,-,-,-,4.68,4.68,4.68
25-26,Fall,Department,SSCI,MSPY,MSc in Physics,7.0,0.693,-,-,-,-,4.83,4.27,4.29,4.29,-,-,-,-,4.33,4.43,4.43,4.43
25-26,Fall,Department,SSCI,MAED,MSc Program in Mathematics for Educators,5.0,0.759,-,-,-,-,-,4.65,4.65,4.65,-,-,-,-,-,4.71,4.71,4.71
