Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
17-18,FALL,University,-,-,-,1301.0,0.551,73.2,73.14,68.77,71.33,88.44,83.79,84.84,74.32,83.44,78.94,72.35,76.97,92.46,86.97,88.12,79.36
17-18,FALL,School,SBM,-,-,335.0,0.562,81.54,73.12,68.67,72.06,84.51,82.26,82.52,75.98,82.81,79.87,74.67,78.58,90.61,84.88,85.32,81.1
17-18,FALL,Dept,SBM,ACCT,Accounting,48.0,0.575,,72.36,62.91,71.24,,84.89,84.89,75.64,,78.65,69.02,77.61,,86.4,86.4,80.47
17-18,FALL,Dept,SBM,ECON,Economics,50.0,0.591,63.33,75.85,68.62,70.68,93.42,89.86,90.02,78.14,55.0,79.27,73.24,74.79,94.74,91.69,91.93,81.41
17-18,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.674,87.93,,,87.93,,,,87.93,91.96,,,91.96,,,,91.96
17-18,FALL,Dept,SBM,FINA,Finance,41.0,0.575,,74.25,67.45,70.19,84.72,83.75,83.8,76.21,,81.34,76.56,78.49,88.89,84.59,84.83,81.29
17-18,FALL,Dept,SBM,GBUS,Global Business,3.0,0.621,87.5,75.41,,76.49,,,,76.49,91.67,76.04,,77.78,,,,77.78
17-18,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",90.0,0.526,,74.48,74.27,74.44,87.5,81.47,81.52,77.49,,79.97,78.38,79.7,92.5,84.59,84.66,81.84
17-18,FALL,Dept,SBM,MIMT,MSc Program in International Management,6.0,0.994,,,,,74.53,72.43,73.13,73.13,,,,,87.26,80.71,83.54,83.54
17-18,FALL,Dept,SBM,MGMT,Management,66.0,0.553,85.0,72.14,,72.29,86.3,80.31,81.41,74.35,90.0,81.71,,81.8,91.1,84.54,85.74,82.69
17-18,FALL,Dept,SBM,MARK,Marketing,29.0,0.542,,70.77,,70.77,98.21,65.98,67.41,69.42,,77.11,,77.11,98.21,70.03,71.28,74.78
17-18,FALL,School,SENG,-,-,213.0,0.497,82.89,73.11,72.21,73.04,90.15,84.09,85.39,75.15,89.09,78.35,75.94,77.68,92.69,90.09,90.74,79.68
17-18,FALL,Dept,SENG,BIEN,Bioengineering,1.0,0.592,,,,,,79.6,79.6,79.6,,,,,,85.63,85.63,85.63
17-18,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,17.0,0.608,70.0,72.62,70.6,71.66,100.0,85.53,86.48,73.54,83.33,81.65,80.28,80.95,100.0,89.91,90.57,82.31
17-18,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,37.0,0.509,84.66,77.24,70.11,71.44,88.68,84.49,86.21,73.65,88.07,81.73,73.44,74.91,91.58,90.25,90.85,77.12
17-18,FALL,Dept,SENG,COMP,Computer Science and Engineering,62.0,0.488,71.25,75.06,80.31,76.32,,89.32,89.32,77.56,87.5,80.18,83.62,81.15,,90.81,90.81,82.09
17-18,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,41.0,0.461,88.02,76.19,73.0,75.59,93.36,80.86,84.4,77.71,90.63,79.9,76.12,78.97,94.92,87.25,90.21,81.09
17-18,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.674,87.93,,,87.93,,,,87.93,91.96,,,91.96,,,,91.96
17-18,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,16.0,0.447,62.5,68.2,75.45,69.52,95.37,89.29,91.27,74.64,87.5,73.78,76.36,74.72,97.22,94.2,95.18,79.56
17-18,FALL,Dept,SENG,MECH,Mechanical Engineering,32.0,0.517,79.17,69.34,56.76,68.0,88.16,81.39,82.57,71.43,83.33,73.49,58.72,71.86,90.79,92.89,92.35,75.38
