Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
22-23,SUMMER,University,-,-,-,94.0,0.436,4.17,4.12,4.44,4.16,4.61,4.29,4.3,4.23,4.46,4.22,4.52,4.3,4.74,4.39,4.41,4.35
22-23,SUMMER,School,SBM,-,-,44.0,0.478,4.41,4.18,,4.29,4.5,4.25,4.26,4.26,4.63,4.32,,4.46,4.67,4.36,4.37,4.39
22-23,SUMMER,Dept,SBM,ACCT,Accounting,5.0,0.333,4.48,,,4.48,3.5,5.0,3.8,4.36,4.78,,,4.78,4.0,5.0,4.33,4.69
22-23,SUMMER,Dept,SBM,ECON,Economics,2.0,0.264,4.67,4.6,,4.64,,,,4.64,4.78,4.4,,4.64,,,,4.64
22-23,SUMMER,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",16.0,0.348,4.25,4.0,,4.04,4.62,4.7,4.69,4.46,4.63,4.12,,4.2,4.69,4.69,4.69,4.51
22-23,SUMMER,Dept,SBM,MIMT,MSc Program in International Management,3.0,0.87,,,,,,4.24,4.24,4.24,,,,,,4.38,4.38,4.38
22-23,SUMMER,Dept,SBM,MGMT,Management,6.0,0.455,4.18,,,4.18,4.86,3.27,3.43,3.54,4.18,,,4.18,5.0,3.32,3.49,3.59
22-23,SUMMER,Dept,SBM,MARK,Marketing,2.0,0.355,,4.57,,4.57,,4.26,4.26,4.39,,4.86,,4.86,,4.26,4.26,4.52
22-23,SUMMER,Dept,SBM,SBMT,School of Business and Management,10.0,0.555,,,,,,4.34,4.34,4.34,,,,,,4.47,4.47,4.47
22-23,SUMMER,School,SENG,-,-,12.0,0.415,4.18,4.26,,4.25,,,,4.25,4.29,4.27,,4.27,,,,4.27
22-23,SUMMER,Dept,SENG,CIVL,Civil and Environmental Engineering,1.0,0.211,3.25,,,3.25,,,,3.25,3.0,,,3.0,,,,3.0
22-23,SUMMER,Dept,SENG,COMP,Computer Science and Engineering,6.0,0.341,4.0,4.14,,4.14,,,,4.14,4.5,4.25,,4.26,,,,4.26
22-23,SUMMER,Dept,SENG,ENGG,School of Engineering,5.0,0.556,4.55,4.4,,4.42,,,,4.42,4.73,4.28,,4.33,,,,4.33
22-23,SUMMER,School,SHSS,-,-,17.0,0.418,4.33,3.88,4.44,4.09,5.0,4.83,4.88,4.19,4.5,3.99,4.52,4.2,5.0,4.79,4.85,4.28
22-23,SUMMER,Dept,SHSS,HUMA,Humanities,11.0,0.49,4.4,3.86,,3.95,,,,3.95,4.52,3.97,,4.06,,,,4.06
22-23,SUMMER,Dept,SHSS,MGCS,MSc Program in Global China Studies,2.0,0.688,,,,,5.0,4.83,4.88,4.88,,,,,5.0,4.79,4.85,4.85
22-23,SUMMER,Dept,SHSS,SOSC,Social Science,4.0,0.302,4.0,4.0,4.44,4.32,,,,4.32,4.4,4.16,4.52,4.43,,,,4.43
22-23,SUMMER,School,SSCI,-,-,10.0,0.322,4.0,4.14,,4.14,,4.58,4.58,4.18,4.75,4.29,,4.3,,4.58,4.58,4.32
22-23,SUMMER,Dept,SSCI,CHEM,Chemistry,1.0,0.38,,3.84,,3.84,,,,3.84,,4.16,,4.16,,,,4.16
22-23,SUMMER,Dept,SSCI,LIFS,Life Science,1.0,0.467,,4.19,,4.19,,,,4.19,,4.36,,4.36,,,,4.36
22-23,SUMMER,Dept,SSCI,MATH,Mathematics,2.0,0.387,,4.13,,4.13,,,,4.13,,4.17,,4.17,,,,4.17
22-23,SUMMER,Dept,SSCI,PHYS,Physics,4.0,0.316,4.0,4.35,,4.3,,,,4.3,4.75,4.46,,4.5,,,,4.5
22-23,SUMMER,Dept,SSCI,MAFS,Self-Financed MSc Program in Mathematics (Financial Mathematics and Statistics),2.0,0.135,,,,,,4.58,4.58,4.58,,,,,,4.58,4.58,4.58
22-23,SUMMER,School,LANG/LABU/LAGR,-,-,6.0,0.494,3.7,,,3.7,,,,3.7,4.21,,,4.21,,,,4.21
22-23,SUMMER,Dept,LANG/LABU/LAGR,LANG,Language,4.0,0.471,3.47,,,3.47,,,,3.47,4.16,,,4.16,,,,4.16
22-23,SUMMER,Dept,LANG/LABU/LAGR,LABU,Language for Business,2.0,0.579,4.36,,,4.36,,,,4.36,4.36,,,4.36,,,,4.36
22-23,SUMMER,School,AIS,-,-,5.0,0.421,5.0,4.53,,4.63,4.4,4.64,4.56,4.6,5.0,4.79,,4.83,4.6,4.64,4.63,4.75
22-23,SUMMER,Dept,AIS,PPOL,Public Policy,3.0,0.286,,,,,4.4,4.64,4.56,4.56,,,,,4.6,4.64,4.63,4.63
22-23,SUMMER,Dept,AIS,TEMG,Technology and Management,2.0,0.615,5.0,4.53,,4.63,,,,4.63,5.0,4.79,,4.83,,,,4.83
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Key:,,,,,,,,,,,,,,,,,,,,,,,
