Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
17-18,SPRING,University,-,-,-,1352.0,0.505,73.64,73.85,69.0,72.48,89.63,83.2,84.66,75.03,82.81,79.02,72.64,77.97,92.75,87.08,88.38,80.08
17-18,SPRING,School,SBM,-,-,353.0,0.522,90.82,74.95,67.19,73.58,89.64,82.01,82.55,76.76,91.33,80.19,73.52,78.99,92.36,85.91,86.37,81.55
17-18,SPRING,Dept,SBM,ACCT,Accounting,47.0,0.509,93.18,74.79,,75.03,93.24,84.31,84.98,78.68,93.18,79.92,,80.09,95.27,86.62,87.27,82.73
17-18,SPRING,Dept,SBM,ECON,Economics,47.0,0.533,87.5,74.73,73.58,74.56,89.52,92.28,91.94,80.72,95.0,79.51,75.61,78.62,89.52,94.7,94.05,84.09
17-18,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.463,85.42,65.28,,73.33,,,,73.33,79.17,81.94,,80.83,,,,80.83
17-18,SPRING,Dept,SBM,FINA,Finance,55.0,0.507,87.5,79.42,73.93,77.62,92.76,79.49,80.21,78.86,87.5,82.09,80.27,81.49,93.42,81.65,82.29,81.88
17-18,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.496,100.0,79.53,,80.11,,,,80.11,100.0,83.19,,83.66,,,,83.66
17-18,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",84.0,0.535,96.43,78.7,62.67,71.96,89.66,81.24,81.5,75.27,100.0,82.93,70.43,77.7,93.97,85.97,86.24,80.57
17-18,SPRING,Dept,SBM,MIMT,MSc Program in International Management,9.0,0.917,,,,,81.25,70.23,71.34,71.34,,,,,93.33,85.36,86.13,86.13
17-18,SPRING,Dept,SBM,MGMT,Management,70.0,0.507,,71.13,,71.13,88.89,80.23,81.03,74.34,,79.39,,79.39,91.2,82.75,83.53,80.74
17-18,SPRING,Dept,SBM,MARK,Marketing,35.0,0.506,,73.35,,73.35,90.63,81.25,82.32,74.8,,77.37,,77.37,95.31,86.6,87.59,79.03
17-18,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.531,,65.69,,65.69,,,,65.69,,70.59,,70.59,,,,70.59
17-18,SPRING,Dept,SBM,SBMT,School of Business and Management,1.0,0.6,,,,,87.5,,87.5,87.5,,,,,91.67,,91.67,91.67
17-18,SPRING,School,SENG,-,-,239.0,0.427,78.76,75.15,70.97,74.02,90.99,84.45,87.34,75.89,84.09,80.78,74.9,79.09,93.88,89.88,91.86,80.71
17-18,SPRING,Dept,SENG,BIEN,Bioengineering,3.0,0.667,58.33,,,58.33,88.16,,88.16,84.09,58.33,,,58.33,90.79,,90.79,86.36
17-18,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,24.0,0.439,71.88,69.39,,69.52,87.5,92.86,90.0,72.11,84.38,75.94,,76.18,86.46,95.24,90.56,78.2
17-18,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,34.0,0.432,79.55,76.42,70.86,71.96,92.65,82.69,86.35,73.94,95.45,80.45,74.76,75.99,94.12,83.25,87.5,77.49
17-18,SPRING,Dept,SENG,COMP,Computer Science and Engineering,67.0,0.424,82.5,78.41,81.75,78.59,89.84,89.8,89.8,79.82,82.5,84.68,92.06,85.0,93.75,93.37,93.44,85.98
17-18,SPRING,Dept,SENG,ELEC,Electronic and Computer Engineering,47.0,0.44,76.06,76.14,74.85,75.82,91.67,80.63,88.68,78.16,80.85,80.45,76.1,79.44,96.0,88.75,94.79,81.78
17-18,SPRING,Dept,SENG,ENEG,Energy Technology,1.0,0.875,,,,,89.29,,89.29,89.29,,,,,96.43,,96.43,96.43
17-18,SPRING,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.463,85.42,65.28,,73.33,,,,73.33,79.17,81.94,,80.83,,,,80.83
17-18,SPRING,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,18.0,0.33,81.94,66.77,63.71,67.4,92.07,,92.07,70.49,88.89,74.16,71.77,74.83,95.73,,95.73,77.45
17-18,SPRING,Dept,SENG,MECH,Mechanical Engineering,34.0,0.454,85.16,72.12,67.21,70.95,90.1,79.17,82.41,73.02,90.63,76.3,70.87,75.0,92.19,91.83,92.0,77.04
17-18,SPRING,Dept,SENG,ENGG,School of Engineering,9.0,0.527,75.0,75.17,,75.15,,,,75.15,79.17,80.89,,80.68,,,,80.68
17-18,SPRING,School,SHSS,-,-,103.0,0.545,88.01,73.87,70.18,72.34,93.53,86.19,89.27,74.98,90.07,79.95,74.43,77.39,95.72,90.71,92.82,79.79
17-18,SPRING,Dept,SHSS,SSMA,Graduate Diploma and MA Programs in Social Science,5.0,0.67,,,,,89.63,96.25,91.8,91.8,,,,,90.85,97.5,93.03,93.03
17-18,SPRING,Dept,SHSS,HUMA,Humanities,48.0,0.556,92.24,72.57,64.74,69.57,95.24,96.2,95.58,71.41,94.83,78.64,70.33,75.38,96.73,98.37,97.31,76.94
17-18,SPRING,Dept,SHSS,HMMA,MA Program in Chinese Culture,2.0,0.731,,,,,,84.21,84.21,84.21,,,,,,90.13,90.13,90.13
17-18,SPRING,Dept,SHSS,MGCS,MSc Program in Global China Studies,4.0,0.718,,,,,93.33,98.61,97.06,97.06,,,,,100.0,99.31,99.51,99.51
17-18,SPRING,Dept,SHSS,MILE,MSc Program in International Language Education,9.0,0.848,,,,,91.35,77.17,81.28,81.28,,,,,94.23,83.46,86.59,86.59
